,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
1021,37081,True,13.0,0.26,1658.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,291496,Hendrik,2017-12-31,10,11.885,88.441086,10.035001,7.236208,0.6,0.6,0.0,0.0,53.0,997.0,996.0446,32.058197,214.93938,59.399998,8.785001,6.835,7.535,11.585,0.72,0.705,0.683,0.628
1022,37081,True,13.0,0.26,1658.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,314855,Hendrik,2019-03-07,17,8.45,70.28863,3.35,1.4811373,0.0,0.0,0.0,0.0,1.0,992.1,992.3405,37.169018,224.21526,71.64,9.35,8.25,7.85,9.75,0.707,0.702,0.659,0.624
1023,37086,True,8.965,0.201,1996.773,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,18.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,326874,Hendrik,2019-08-10,16,20.9545,57.524746,12.2545,15.744041,0.0,0.0,0.0,0.0,0.0,1008.6,1008.0143,40.539577,228.23979,77.03999,21.4545,18.904501,17.1045,12.304501,0.595,0.526,0.522,0.621
1024,37091,True,10.55,0.228,1991.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,92878,Hendrik,2010-02-27,10,5.198,86.005394,3.0479999,0.286376,0.7,0.7,0.0,0.0,53.0,999.3,998.44196,22.66857,212.68054,50.039997,4.748,4.598,3.748,8.398,0.711,0.718,0.699,0.641
1025,37105,True,12.794,0.0,1859.333,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,340962,Dirk,2020-02-09,18,11.072,87.18856,9.022,3.298119,1.1,1.1,0.0,0.0,55.0,985.1,983.91675,51.55924,215.90982,100.799995,8.872,6.722,7.472,10.222,0.694,0.679,0.69,0.672
1026,37105,True,12.794,0.0,1859.333,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,341005,Dirk,2020-02-09,19,11.372,87.80523,9.422,3.6158724,2.5,2.5,0.0,0.0,63.0,984.3,983.119,52.1851,225.27948,118.079994,9.022,6.772,7.472,10.222,0.724,0.68,0.69,0.672
1027,37108,True,12.6,0.0,1961.818,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,443449,Nico,2023-11-02,17,9.841499,78.29975,6.2415004,2.3259215,0.1,0.1,0.0,0.0,51.0,969.7,968.881,45.057564,194.8135,81.72,9.6414995,11.1915,12.7915,13.9415,0.746,0.745,0.708,0.631
1028,37112,True,13.5,0.0,1968.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,394277,Nico,2022-02-20,19,9.774,91.30516,8.424,2.3040228,0.9,0.9,0.0,0.0,53.0,992.0,991.7605,48.390213,226.80872,86.03999,8.374,6.974,7.624,9.824,0.758,0.748,0.707,0.68
1029,37113,True,15.071,0.75,1968.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,111347,Nico,2011-08-07,15,17.728498,65.275475,11.1285,14.317141,0.1,0.1,0.0,0.0,51.0,1004.8,1003.6208,25.77962,234.09018,54.719997,19.728498,17.2785,14.9285,11.028501,0.637,0.609,0.549,0.621
1030,37113,True,15.071,0.75,1968.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,125984,Nico,2012-08-26,12,17.8785,82.086136,14.778501,15.990726,1.0,1.0,0.0,0.0,55.0,1011.2,1010.0139,23.828083,296.9521,46.44,18.828499,17.4285,16.6785,11.9785,0.653,0.597,0.615,0.647
