Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2022-02-21,47629,52.39185567567582,4.78165062137386,9,True,13.658,0.342,1979.737,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,4.137,83.174576,1.537,-4.11705,2.6,1.4999999,0.77,0.0,73.0,992.4,992.27783,100.0,100.0,100.0,100.0,0.04258505,0.13853723,43.738148,70.21476,235.39426,237.77667,74.520004,4.987,6.787,7.587,9.787001,0.745,0.742,0.717,0.682
2017-09-13,13110,52.30086468468473,4.81559023111811,12,True,21.5,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6915,69.36559,9.1414995,8.201725,0.1,0.1,0.0,0.0,51.0,997.6,996.8898,73.8,46.0,54.0,0.0,0.23023392,0.5126879,42.9729,62.868202,254.45013,255.4067,87.84,15.591499,14.6414995,15.6915,16.0915,0.406,0.404,0.299,0.331
2022-02-18,31599,52.34951333333344,4.846578570449815,21,True,9.013,0.365,1516.231,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,8.0,4.0,0.0,12.0,1.0,0.0,4.0,0.0,6.4045,55.170227,-1.9455,-2.5942082,0.0,0.0,0.0,0.0,1.0,995.3,994.69214,33.300003,1.0,54.0,0.0,0.098150745,0.43208057,45.206886,69.72485,252.86363,253.81071,90.0,7.1545,7.9045,7.5545,9.8545,0.719,0.72,0.7,0.679
2021-03-11,42503,52.37834216216231,4.787553162198947,10,True,12.75,0.281,1927.359,5.0,0.0,3.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.662999,68.54911,5.113,2.0656905,0.0,0.0,0.0,0.0,3.0,989.6,989.95715,100.0,93.0,96.0,0.0,0.16212825,0.40438014,50.77149,76.97773,231.91118,232.21895,104.03999,8.462999,5.763,6.563,9.212999,0.69,0.668,0.679,0.68
2009-05-26,22388,52.32518900900909,4.8805181801940645,7,True,11.688,,1951.786,20.0,0.0,15.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,18.417501,88.98068,16.567501,17.12015,0.0,0.0,0.0,0.0,2.0,1006.6,1006.2462,74.7,71.0,0.0,36.0,0.1243557,0.23354506,24.633049,36.719997,206.93945,208.07239,41.760002,17.0175,15.8175,11.9175,8.5175,0.543,0.519,0.553,0.631
2022-02-18,34005,52.35581963963975,4.864286192925075,16,True,10.829,0.325,1819.861,18.0,0.0,7.0,1.0,17.0,4.0,3.0,0.0,2.0,2.0,0.0,1.0,43.0,9.0,0.0,8.0,0.0,8.8545,66.74273,3.0045,-0.5920763,0.0,0.0,0.0,0.0,1.0,985.3,984.7034,20.1,15.0,11.0,0.0,0.10923856,0.37881607,53.712433,83.32191,232.8996,234.31834,107.64,8.7545,7.9545,7.5545,9.8545,0.728,0.72,0.699,0.679
2020-02-09,16988,52.31077459459465,4.986763915045627,16,True,21.5,,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.124,77.4295,7.324,1.9745789,0.5,0.5,0.0,0.0,53.0,988.3,988.06256,100.0,100.0,100.0,97.0,0.080475286,0.29920638,58.00917,87.74331,208.9509,210.03638,101.52,8.824,6.574,7.424,10.324,0.673,0.672,0.675,0.627
2023-07-05,48030,52.39275657657673,4.868713098543891,12,True,12.294,0.25,1874.971,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0,13.6805,90.65884,12.1805,9.673906,0.1,0.1,0.0,0.0,51.0,1008.1,1007.86005,100.0,25.0,100.0,100.0,0.07923355,0.14641511,32.136932,50.911686,260.32672,261.87,64.439995,13.4305,16.2305,15.9805,10.7805,0.703,0.498,0.547,0.666
2023-07-05,10144,52.292756576576615,4.98086137422054,12,True,8.618,,1846.842,3.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,14.487,85.79728,12.137,10.312544,0.3,0.3,0.0,0.0,51.0,1008.4,1008.28033,99.9,11.0,100.0,100.0,0.13182242,0.23454762,33.190357,47.798725,257.4712,258.26694,63.72,13.937,16.337,15.987,10.837001,0.698,0.458,0.539,0.66
2007-06-09,21372,52.32248630630637,4.895274532256781,14,True,12.545,,1978.091,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.130499,78.181465,17.1805,21.940035,0.0,0.0,0.0,0.0,3.0,1017.2,1017.0818,84.9,82.0,13.0,11.0,0.3273193,0.5470052,12.144331,15.542662,258.0239,256.60748,20.519999,22.8305,18.780499,14.3805,10.9305,0.578,0.547,0.542,0.633
