Unnamed: 0,grid_id,zipcode,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
5145.0,8661.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.273182739203264, 4.907730272744895 52.273182739203264, 4.907730272744895 52.27138093740146, 4.904782543660426 52.27138093740146, 4.904782543660426 52.273182739203264))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5146.0,8662.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.27498454100507, 4.907730272744895 52.27498454100507, 4.907730272744895 52.273182739203264, 4.904782543660426 52.273182739203264, 4.904782543660426 52.27498454100507))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5147.0,8663.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.27678634280687, 4.907730272744895 52.27678634280687, 4.907730272744895 52.27498454100507, 4.904782543660426 52.27498454100507, 4.904782543660426 52.27678634280687))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5148.0,8664.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.278588144608676, 4.907730272744895 52.278588144608676, 4.907730272744895 52.27678634280687, 4.904782543660426 52.27678634280687, 4.904782543660426 52.278588144608676))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5149.0,8665.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.28038994641048, 4.907730272744895 52.28038994641048, 4.907730272744895 52.278588144608676, 4.904782543660426 52.278588144608676, 4.904782543660426 52.28038994641048))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5150.0,8666.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.282191748212284, 4.907730272744895 52.282191748212284, 4.907730272744895 52.28038994641048, 4.904782543660426 52.28038994641048, 4.904782543660426 52.282191748212284))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5151.0,8667.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.28399355001409, 4.907730272744895 52.28399355001409, 4.907730272744895 52.282191748212284, 4.904782543660426 52.282191748212284, 4.904782543660426 52.28399355001409))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5152.0,8668.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.28579535181589, 4.907730272744895 52.28579535181589, 4.907730272744895 52.28399355001409, 4.904782543660426 52.28399355001409, 4.904782543660426 52.28579535181589))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5153.0,8669.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.287597153617696, 4.907730272744895 52.287597153617696, 4.907730272744895 52.28579535181589, 4.904782543660426 52.28579535181589, 4.904782543660426 52.287597153617696))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5154.0,8670.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.2893989554195, 4.907730272744895 52.2893989554195, 4.907730272744895 52.287597153617696, 4.904782543660426 52.287597153617696, 4.904782543660426 52.2893989554195))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5155.0,8671.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.291200757221304, 4.907730272744895 52.291200757221304, 4.907730272744895 52.2893989554195, 4.904782543660426 52.2893989554195, 4.904782543660426 52.291200757221304))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5156.0,8672.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.29300255902311, 4.907730272744895 52.29300255902311, 4.907730272744895 52.291200757221304, 4.904782543660426 52.291200757221304, 4.904782543660426 52.29300255902311))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5157.0,8673.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.29480436082491, 4.907730272744895 52.29480436082491, 4.907730272744895 52.29300255902311, 4.904782543660426 52.29300255902311, 4.904782543660426 52.29480436082491))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5158.0,8674.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.296606162626716, 4.907730272744895 52.296606162626716, 4.907730272744895 52.29480436082491, 4.904782543660426 52.29480436082491, 4.904782543660426 52.296606162626716))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
