,geometry
10428,"POLYGON ((4.946050750842993 52.30201156803213, 4.946050750842993 52.30381336983393, 4.948998479927462 52.30381336983393, 4.948998479927462 52.30201156803213, 4.946050750842993 52.30201156803213))"
10429,"POLYGON ((4.946050750842993 52.30381336983393, 4.946050750842993 52.305615171635736, 4.948998479927462 52.305615171635736, 4.948998479927462 52.30381336983393, 4.946050750842993 52.30381336983393))"
10430,"POLYGON ((4.946050750842993 52.305615171635736, 4.946050750842993 52.30741697343754, 4.948998479927462 52.30741697343754, 4.948998479927462 52.305615171635736, 4.946050750842993 52.305615171635736))"
10431,"POLYGON ((4.946050750842993 52.30741697343754, 4.946050750842993 52.309218775239344, 4.948998479927462 52.309218775239344, 4.948998479927462 52.30741697343754, 4.946050750842993 52.30741697343754))"
10432,"POLYGON ((4.946050750842993 52.309218775239344, 4.946050750842993 52.31102057704115, 4.948998479927462 52.31102057704115, 4.948998479927462 52.309218775239344, 4.946050750842993 52.309218775239344))"
10433,"POLYGON ((4.946050750842993 52.31102057704115, 4.946050750842993 52.31282237884295, 4.948998479927462 52.31282237884295, 4.948998479927462 52.31102057704115, 4.946050750842993 52.31102057704115))"
10434,"POLYGON ((4.946050750842993 52.31282237884295, 4.946050750842993 52.314624180644756, 4.948998479927462 52.314624180644756, 4.948998479927462 52.31282237884295, 4.946050750842993 52.31282237884295))"
10435,"POLYGON ((4.946050750842993 52.314624180644756, 4.946050750842993 52.31642598244656, 4.948998479927462 52.31642598244656, 4.948998479927462 52.314624180644756, 4.946050750842993 52.314624180644756))"
10436,"POLYGON ((4.946050750842993 52.31642598244656, 4.946050750842993 52.318227784248364, 4.948998479927462 52.318227784248364, 4.948998479927462 52.31642598244656, 4.946050750842993 52.31642598244656))"
10437,"POLYGON ((4.946050750842993 52.318227784248364, 4.946050750842993 52.32002958605017, 4.948998479927462 52.32002958605017, 4.948998479927462 52.318227784248364, 4.946050750842993 52.318227784248364))"
10438,"POLYGON ((4.946050750842993 52.32002958605017, 4.946050750842993 52.32183138785197, 4.948998479927462 52.32183138785197, 4.948998479927462 52.32002958605017, 4.946050750842993 52.32002958605017))"
10439,"POLYGON ((4.946050750842993 52.32183138785197, 4.946050750842993 52.323633189653776, 4.948998479927462 52.323633189653776, 4.948998479927462 52.32183138785197, 4.946050750842993 52.32183138785197))"
10440,"POLYGON ((4.946050750842993 52.323633189653776, 4.946050750842993 52.32543499145558, 4.948998479927462 52.32543499145558, 4.948998479927462 52.323633189653776, 4.946050750842993 52.323633189653776))"
10441,"POLYGON ((4.946050750842993 52.32543499145558, 4.946050750842993 52.327236793257384, 4.948998479927462 52.327236793257384, 4.948998479927462 52.32543499145558, 4.946050750842993 52.32543499145558))"
10442,"POLYGON ((4.946050750842993 52.327236793257384, 4.946050750842993 52.32903859505919, 4.948998479927462 52.32903859505919, 4.948998479927462 52.327236793257384, 4.946050750842993 52.327236793257384))"
10443,"POLYGON ((4.946050750842993 52.32903859505919, 4.946050750842993 52.33084039686099, 4.948998479927462 52.33084039686099, 4.948998479927462 52.32903859505919, 4.946050750842993 52.32903859505919))"
10444,"POLYGON ((4.946050750842993 52.33084039686099, 4.946050750842993 52.332642198662796, 4.948998479927462 52.332642198662796, 4.948998479927462 52.33084039686099, 4.946050750842993 52.33084039686099))"
10445,"POLYGON ((4.946050750842993 52.332642198662796, 4.946050750842993 52.3344440004646, 4.948998479927462 52.3344440004646, 4.948998479927462 52.332642198662796, 4.946050750842993 52.332642198662796))"
10446,"POLYGON ((4.946050750842993 52.3344440004646, 4.946050750842993 52.336245802266404, 4.948998479927462 52.336245802266404, 4.948998479927462 52.3344440004646, 4.946050750842993 52.3344440004646))"
10447,"POLYGON ((4.946050750842993 52.336245802266404, 4.946050750842993 52.33804760406821, 4.948998479927462 52.33804760406821, 4.948998479927462 52.336245802266404, 4.946050750842993 52.336245802266404))"
10448,"POLYGON ((4.946050750842993 52.33804760406821, 4.946050750842993 52.33984940587001, 4.948998479927462 52.33984940587001, 4.948998479927462 52.33804760406821, 4.946050750842993 52.33804760406821))"
10449,"POLYGON ((4.946050750842993 52.33984940587001, 4.946050750842993 52.341651207671816, 4.948998479927462 52.341651207671816, 4.948998479927462 52.33984940587001, 4.946050750842993 52.33984940587001))"
10450,"POLYGON ((4.946050750842993 52.341651207671816, 4.946050750842993 52.34345300947362, 4.948998479927462 52.34345300947362, 4.948998479927462 52.341651207671816, 4.946050750842993 52.341651207671816))"
10451,"POLYGON ((4.946050750842993 52.34345300947362, 4.946050750842993 52.345254811275424, 4.948998479927462 52.345254811275424, 4.948998479927462 52.34345300947362, 4.946050750842993 52.34345300947362))"
10452,"POLYGON ((4.946050750842993 52.345254811275424, 4.946050750842993 52.34705661307723, 4.948998479927462 52.34705661307723, 4.948998479927462 52.345254811275424, 4.946050750842993 52.345254811275424))"
10453,"POLYGON ((4.946050750842993 52.34705661307723, 4.946050750842993 52.34885841487903, 4.948998479927462 52.34885841487903, 4.948998479927462 52.34705661307723, 4.946050750842993 52.34705661307723))"
10454,"POLYGON ((4.946050750842993 52.34885841487903, 4.946050750842993 52.350660216680836, 4.948998479927462 52.350660216680836, 4.948998479927462 52.34885841487903, 4.946050750842993 52.34885841487903))"
10455,"POLYGON ((4.946050750842993 52.350660216680836, 4.946050750842993 52.35246201848264, 4.948998479927462 52.35246201848264, 4.948998479927462 52.350660216680836, 4.946050750842993 52.350660216680836))"
10456,"POLYGON ((4.946050750842993 52.35246201848264, 4.946050750842993 52.354263820284444, 4.948998479927462 52.354263820284444, 4.948998479927462 52.35246201848264, 4.946050750842993 52.35246201848264))"
10457,"POLYGON ((4.946050750842993 52.354263820284444, 4.946050750842993 52.35606562208625, 4.948998479927462 52.35606562208625, 4.948998479927462 52.354263820284444, 4.946050750842993 52.354263820284444))"
10458,"POLYGON ((4.946050750842993 52.35606562208625, 4.946050750842993 52.35786742388805, 4.948998479927462 52.35786742388805, 4.948998479927462 52.35606562208625, 4.946050750842993 52.35606562208625))"
10459,"POLYGON ((4.946050750842993 52.35786742388805, 4.946050750842993 52.359669225689856, 4.948998479927462 52.359669225689856, 4.948998479927462 52.35786742388805, 4.946050750842993 52.35786742388805))"
10460,"POLYGON ((4.946050750842993 52.359669225689856, 4.946050750842993 52.36147102749166, 4.948998479927462 52.36147102749166, 4.948998479927462 52.359669225689856, 4.946050750842993 52.359669225689856))"
10461,"POLYGON ((4.946050750842993 52.36147102749166, 4.946050750842993 52.363272829293464, 4.948998479927462 52.363272829293464, 4.948998479927462 52.36147102749166, 4.946050750842993 52.36147102749166))"
10462,"POLYGON ((4.946050750842993 52.363272829293464, 4.946050750842993 52.36507463109527, 4.948998479927462 52.36507463109527, 4.948998479927462 52.363272829293464, 4.946050750842993 52.363272829293464))"
10463,"POLYGON ((4.946050750842993 52.36507463109527, 4.946050750842993 52.36687643289707, 4.948998479927462 52.36687643289707, 4.948998479927462 52.36507463109527, 4.946050750842993 52.36507463109527))"
10464,"POLYGON ((4.946050750842993 52.36687643289707, 4.946050750842993 52.368678234698876, 4.948998479927462 52.368678234698876, 4.948998479927462 52.36687643289707, 4.946050750842993 52.36687643289707))"
10465,"POLYGON ((4.946050750842993 52.368678234698876, 4.946050750842993 52.37048003650068, 4.948998479927462 52.37048003650068, 4.948998479927462 52.368678234698876, 4.946050750842993 52.368678234698876))"
10466,"POLYGON ((4.946050750842993 52.37048003650068, 4.946050750842993 52.372281838302484, 4.948998479927462 52.372281838302484, 4.948998479927462 52.37048003650068, 4.946050750842993 52.37048003650068))"
10467,"POLYGON ((4.946050750842993 52.372281838302484, 4.946050750842993 52.37408364010429, 4.948998479927462 52.37408364010429, 4.948998479927462 52.372281838302484, 4.946050750842993 52.372281838302484))"
10468,"POLYGON ((4.946050750842993 52.37408364010429, 4.946050750842993 52.37588544190609, 4.948998479927462 52.37588544190609, 4.948998479927462 52.37408364010429, 4.946050750842993 52.37408364010429))"
10469,"POLYGON ((4.946050750842993 52.37588544190609, 4.946050750842993 52.377687243707896, 4.948998479927462 52.377687243707896, 4.948998479927462 52.37588544190609, 4.946050750842993 52.37588544190609))"
10470,"POLYGON ((4.946050750842993 52.377687243707896, 4.946050750842993 52.3794890455097, 4.948998479927462 52.3794890455097, 4.948998479927462 52.377687243707896, 4.946050750842993 52.377687243707896))"
10471,"POLYGON ((4.946050750842993 52.3794890455097, 4.946050750842993 52.381290847311504, 4.948998479927462 52.381290847311504, 4.948998479927462 52.3794890455097, 4.946050750842993 52.3794890455097))"
10472,"POLYGON ((4.946050750842993 52.381290847311504, 4.946050750842993 52.38309264911331, 4.948998479927462 52.38309264911331, 4.948998479927462 52.381290847311504, 4.946050750842993 52.381290847311504))"
10473,"POLYGON ((4.946050750842993 52.38309264911331, 4.946050750842993 52.38489445091511, 4.948998479927462 52.38489445091511, 4.948998479927462 52.38309264911331, 4.946050750842993 52.38309264911331))"
10474,"POLYGON ((4.946050750842993 52.38489445091511, 4.946050750842993 52.386696252716916, 4.948998479927462 52.386696252716916, 4.948998479927462 52.38489445091511, 4.946050750842993 52.38489445091511))"
10475,"POLYGON ((4.946050750842993 52.386696252716916, 4.946050750842993 52.38849805451872, 4.948998479927462 52.38849805451872, 4.948998479927462 52.386696252716916, 4.946050750842993 52.386696252716916))"
10476,"POLYGON ((4.946050750842993 52.38849805451872, 4.946050750842993 52.390299856320524, 4.948998479927462 52.390299856320524, 4.948998479927462 52.38849805451872, 4.946050750842993 52.38849805451872))"
10477,"POLYGON ((4.946050750842993 52.390299856320524, 4.946050750842993 52.39210165812233, 4.948998479927462 52.39210165812233, 4.948998479927462 52.390299856320524, 4.946050750842993 52.390299856320524))"
10478,"POLYGON ((4.946050750842993 52.39210165812233, 4.946050750842993 52.39390345992413, 4.948998479927462 52.39390345992413, 4.948998479927462 52.39210165812233, 4.946050750842993 52.39210165812233))"
10479,"POLYGON ((4.946050750842993 52.39390345992413, 4.946050750842993 52.39570526172594, 4.948998479927462 52.39570526172594, 4.948998479927462 52.39390345992413, 4.946050750842993 52.39390345992413))"
10480,"POLYGON ((4.946050750842993 52.39570526172594, 4.946050750842993 52.39750706352774, 4.948998479927462 52.39750706352774, 4.948998479927462 52.39570526172594, 4.946050750842993 52.39570526172594))"
10481,"POLYGON ((4.946050750842993 52.39750706352774, 4.946050750842993 52.399308865329544, 4.948998479927462 52.399308865329544, 4.948998479927462 52.39750706352774, 4.946050750842993 52.39750706352774))"
10482,"POLYGON ((4.946050750842993 52.399308865329544, 4.946050750842993 52.40111066713135, 4.948998479927462 52.40111066713135, 4.948998479927462 52.399308865329544, 4.946050750842993 52.399308865329544))"
10483,"POLYGON ((4.946050750842993 52.40111066713135, 4.946050750842993 52.40291246893315, 4.948998479927462 52.40291246893315, 4.948998479927462 52.40111066713135, 4.946050750842993 52.40111066713135))"
10484,"POLYGON ((4.946050750842993 52.40291246893315, 4.946050750842993 52.40471427073496, 4.948998479927462 52.40471427073496, 4.948998479927462 52.40291246893315, 4.946050750842993 52.40291246893315))"
10485,"POLYGON ((4.946050750842993 52.40471427073496, 4.946050750842993 52.40651607253676, 4.948998479927462 52.40651607253676, 4.948998479927462 52.40471427073496, 4.946050750842993 52.40471427073496))"
10486,"POLYGON ((4.946050750842993 52.40651607253676, 4.946050750842993 52.408317874338564, 4.948998479927462 52.408317874338564, 4.948998479927462 52.40651607253676, 4.946050750842993 52.40651607253676))"
10487,"POLYGON ((4.946050750842993 52.408317874338564, 4.946050750842993 52.41011967614037, 4.948998479927462 52.41011967614037, 4.948998479927462 52.408317874338564, 4.946050750842993 52.408317874338564))"
10488,"POLYGON ((4.946050750842993 52.41011967614037, 4.946050750842993 52.41192147794217, 4.948998479927462 52.41192147794217, 4.948998479927462 52.41011967614037, 4.946050750842993 52.41011967614037))"
10489,"POLYGON ((4.946050750842993 52.41192147794217, 4.946050750842993 52.41372327974398, 4.948998479927462 52.41372327974398, 4.948998479927462 52.41192147794217, 4.946050750842993 52.41192147794217))"
10490,"POLYGON ((4.946050750842993 52.41372327974398, 4.946050750842993 52.41552508154578, 4.948998479927462 52.41552508154578, 4.948998479927462 52.41372327974398, 4.946050750842993 52.41372327974398))"
10491,"POLYGON ((4.946050750842993 52.41552508154578, 4.946050750842993 52.417326883347584, 4.948998479927462 52.417326883347584, 4.948998479927462 52.41552508154578, 4.946050750842993 52.41552508154578))"
10492,"POLYGON ((4.946050750842993 52.417326883347584, 4.946050750842993 52.41912868514939, 4.948998479927462 52.41912868514939, 4.948998479927462 52.417326883347584, 4.946050750842993 52.417326883347584))"
10493,"POLYGON ((4.946050750842993 52.41912868514939, 4.946050750842993 52.42093048695119, 4.948998479927462 52.42093048695119, 4.948998479927462 52.41912868514939, 4.946050750842993 52.41912868514939))"
10494,"POLYGON ((4.946050750842993 52.42093048695119, 4.946050750842993 52.422732288753, 4.948998479927462 52.422732288753, 4.948998479927462 52.42093048695119, 4.946050750842993 52.42093048695119))"
10495,"POLYGON ((4.946050750842993 52.422732288753, 4.946050750842993 52.4245340905548, 4.948998479927462 52.4245340905548, 4.948998479927462 52.422732288753, 4.946050750842993 52.422732288753))"
10496,"POLYGON ((4.946050750842993 52.4245340905548, 4.946050750842993 52.426335892356605, 4.948998479927462 52.426335892356605, 4.948998479927462 52.4245340905548, 4.946050750842993 52.4245340905548))"
10497,"POLYGON ((4.946050750842993 52.426335892356605, 4.946050750842993 52.42813769415841, 4.948998479927462 52.42813769415841, 4.948998479927462 52.426335892356605, 4.946050750842993 52.426335892356605))"
10498,"POLYGON ((4.946050750842993 52.42813769415841, 4.946050750842993 52.42993949596021, 4.948998479927462 52.42993949596021, 4.948998479927462 52.42813769415841, 4.946050750842993 52.42813769415841))"
10499,"POLYGON ((4.946050750842993 52.42993949596021, 4.946050750842993 52.43174129776202, 4.948998479927462 52.43174129776202, 4.948998479927462 52.42993949596021, 4.946050750842993 52.42993949596021))"
10500,"POLYGON ((4.948998479927462 52.206516072536516, 4.948998479927462 52.20831787433832, 4.951946209011931 52.20831787433832, 4.951946209011931 52.206516072536516, 4.948998479927462 52.206516072536516))"
10501,"POLYGON ((4.948998479927462 52.20831787433832, 4.948998479927462 52.210119676140124, 4.951946209011931 52.210119676140124, 4.951946209011931 52.20831787433832, 4.948998479927462 52.20831787433832))"
10502,"POLYGON ((4.948998479927462 52.210119676140124, 4.948998479927462 52.21192147794193, 4.951946209011931 52.21192147794193, 4.951946209011931 52.210119676140124, 4.948998479927462 52.210119676140124))"
10503,"POLYGON ((4.948998479927462 52.21192147794193, 4.948998479927462 52.21372327974373, 4.951946209011931 52.21372327974373, 4.951946209011931 52.21192147794193, 4.948998479927462 52.21192147794193))"
10504,"POLYGON ((4.948998479927462 52.21372327974373, 4.948998479927462 52.215525081545536, 4.951946209011931 52.215525081545536, 4.951946209011931 52.21372327974373, 4.948998479927462 52.21372327974373))"
10505,"POLYGON ((4.948998479927462 52.215525081545536, 4.948998479927462 52.21732688334734, 4.951946209011931 52.21732688334734, 4.951946209011931 52.215525081545536, 4.948998479927462 52.215525081545536))"
10506,"POLYGON ((4.948998479927462 52.21732688334734, 4.948998479927462 52.219128685149144, 4.951946209011931 52.219128685149144, 4.951946209011931 52.21732688334734, 4.948998479927462 52.21732688334734))"
10507,"POLYGON ((4.948998479927462 52.219128685149144, 4.948998479927462 52.22093048695095, 4.951946209011931 52.22093048695095, 4.951946209011931 52.219128685149144, 4.948998479927462 52.219128685149144))"
10508,"POLYGON ((4.948998479927462 52.22093048695095, 4.948998479927462 52.22273228875275, 4.951946209011931 52.22273228875275, 4.951946209011931 52.22093048695095, 4.948998479927462 52.22093048695095))"
10509,"POLYGON ((4.948998479927462 52.22273228875275, 4.948998479927462 52.224534090554556, 4.951946209011931 52.224534090554556, 4.951946209011931 52.22273228875275, 4.948998479927462 52.22273228875275))"
10510,"POLYGON ((4.948998479927462 52.224534090554556, 4.948998479927462 52.22633589235636, 4.951946209011931 52.22633589235636, 4.951946209011931 52.224534090554556, 4.948998479927462 52.224534090554556))"
10511,"POLYGON ((4.948998479927462 52.22633589235636, 4.948998479927462 52.228137694158164, 4.951946209011931 52.228137694158164, 4.951946209011931 52.22633589235636, 4.948998479927462 52.22633589235636))"
10512,"POLYGON ((4.948998479927462 52.228137694158164, 4.948998479927462 52.22993949595997, 4.951946209011931 52.22993949595997, 4.951946209011931 52.228137694158164, 4.948998479927462 52.228137694158164))"
10513,"POLYGON ((4.948998479927462 52.22993949595997, 4.948998479927462 52.23174129776177, 4.951946209011931 52.23174129776177, 4.951946209011931 52.22993949595997, 4.948998479927462 52.22993949595997))"
10514,"POLYGON ((4.948998479927462 52.23174129776177, 4.948998479927462 52.233543099563576, 4.951946209011931 52.233543099563576, 4.951946209011931 52.23174129776177, 4.948998479927462 52.23174129776177))"
10515,"POLYGON ((4.948998479927462 52.233543099563576, 4.948998479927462 52.23534490136538, 4.951946209011931 52.23534490136538, 4.951946209011931 52.233543099563576, 4.948998479927462 52.233543099563576))"
10516,"POLYGON ((4.948998479927462 52.23534490136538, 4.948998479927462 52.237146703167184, 4.951946209011931 52.237146703167184, 4.951946209011931 52.23534490136538, 4.948998479927462 52.23534490136538))"
10517,"POLYGON ((4.948998479927462 52.237146703167184, 4.948998479927462 52.23894850496899, 4.951946209011931 52.23894850496899, 4.951946209011931 52.237146703167184, 4.948998479927462 52.237146703167184))"
10518,"POLYGON ((4.948998479927462 52.23894850496899, 4.948998479927462 52.24075030677079, 4.951946209011931 52.24075030677079, 4.951946209011931 52.23894850496899, 4.948998479927462 52.23894850496899))"
10519,"POLYGON ((4.948998479927462 52.24075030677079, 4.948998479927462 52.242552108572596, 4.951946209011931 52.242552108572596, 4.951946209011931 52.24075030677079, 4.948998479927462 52.24075030677079))"
10520,"POLYGON ((4.948998479927462 52.242552108572596, 4.948998479927462 52.2443539103744, 4.951946209011931 52.2443539103744, 4.951946209011931 52.242552108572596, 4.948998479927462 52.242552108572596))"
10521,"POLYGON ((4.948998479927462 52.2443539103744, 4.948998479927462 52.246155712176204, 4.951946209011931 52.246155712176204, 4.951946209011931 52.2443539103744, 4.948998479927462 52.2443539103744))"
10522,"POLYGON ((4.948998479927462 52.246155712176204, 4.948998479927462 52.24795751397801, 4.951946209011931 52.24795751397801, 4.951946209011931 52.246155712176204, 4.948998479927462 52.246155712176204))"
10523,"POLYGON ((4.948998479927462 52.24795751397801, 4.948998479927462 52.24975931577981, 4.951946209011931 52.24975931577981, 4.951946209011931 52.24795751397801, 4.948998479927462 52.24795751397801))"
10524,"POLYGON ((4.948998479927462 52.24975931577981, 4.948998479927462 52.251561117581616, 4.951946209011931 52.251561117581616, 4.951946209011931 52.24975931577981, 4.948998479927462 52.24975931577981))"
10525,"POLYGON ((4.948998479927462 52.251561117581616, 4.948998479927462 52.25336291938342, 4.951946209011931 52.25336291938342, 4.951946209011931 52.251561117581616, 4.948998479927462 52.251561117581616))"
10526,"POLYGON ((4.948998479927462 52.25336291938342, 4.948998479927462 52.255164721185224, 4.951946209011931 52.255164721185224, 4.951946209011931 52.25336291938342, 4.948998479927462 52.25336291938342))"
10527,"POLYGON ((4.948998479927462 52.255164721185224, 4.948998479927462 52.25696652298703, 4.951946209011931 52.25696652298703, 4.951946209011931 52.255164721185224, 4.948998479927462 52.255164721185224))"
10528,"POLYGON ((4.948998479927462 52.25696652298703, 4.948998479927462 52.25876832478883, 4.951946209011931 52.25876832478883, 4.951946209011931 52.25696652298703, 4.948998479927462 52.25696652298703))"
10529,"POLYGON ((4.948998479927462 52.25876832478883, 4.948998479927462 52.260570126590636, 4.951946209011931 52.260570126590636, 4.951946209011931 52.25876832478883, 4.948998479927462 52.25876832478883))"
10530,"POLYGON ((4.948998479927462 52.260570126590636, 4.948998479927462 52.26237192839244, 4.951946209011931 52.26237192839244, 4.951946209011931 52.260570126590636, 4.948998479927462 52.260570126590636))"
10531,"POLYGON ((4.948998479927462 52.26237192839244, 4.948998479927462 52.264173730194244, 4.951946209011931 52.264173730194244, 4.951946209011931 52.26237192839244, 4.948998479927462 52.26237192839244))"
10532,"POLYGON ((4.948998479927462 52.264173730194244, 4.948998479927462 52.26597553199605, 4.951946209011931 52.26597553199605, 4.951946209011931 52.264173730194244, 4.948998479927462 52.264173730194244))"
10533,"POLYGON ((4.948998479927462 52.26597553199605, 4.948998479927462 52.26777733379785, 4.951946209011931 52.26777733379785, 4.951946209011931 52.26597553199605, 4.948998479927462 52.26597553199605))"
10534,"POLYGON ((4.948998479927462 52.26777733379785, 4.948998479927462 52.269579135599656, 4.951946209011931 52.269579135599656, 4.951946209011931 52.26777733379785, 4.948998479927462 52.26777733379785))"
10535,"POLYGON ((4.948998479927462 52.269579135599656, 4.948998479927462 52.27138093740146, 4.951946209011931 52.27138093740146, 4.951946209011931 52.269579135599656, 4.948998479927462 52.269579135599656))"
10536,"POLYGON ((4.948998479927462 52.27138093740146, 4.948998479927462 52.273182739203264, 4.951946209011931 52.273182739203264, 4.951946209011931 52.27138093740146, 4.948998479927462 52.27138093740146))"
10537,"POLYGON ((4.948998479927462 52.273182739203264, 4.948998479927462 52.27498454100507, 4.951946209011931 52.27498454100507, 4.951946209011931 52.273182739203264, 4.948998479927462 52.273182739203264))"
10538,"POLYGON ((4.948998479927462 52.27498454100507, 4.948998479927462 52.27678634280687, 4.951946209011931 52.27678634280687, 4.951946209011931 52.27498454100507, 4.948998479927462 52.27498454100507))"
10539,"POLYGON ((4.948998479927462 52.27678634280687, 4.948998479927462 52.278588144608676, 4.951946209011931 52.278588144608676, 4.951946209011931 52.27678634280687, 4.948998479927462 52.27678634280687))"
10540,"POLYGON ((4.948998479927462 52.278588144608676, 4.948998479927462 52.28038994641048, 4.951946209011931 52.28038994641048, 4.951946209011931 52.278588144608676, 4.948998479927462 52.278588144608676))"
10541,"POLYGON ((4.948998479927462 52.28038994641048, 4.948998479927462 52.282191748212284, 4.951946209011931 52.282191748212284, 4.951946209011931 52.28038994641048, 4.948998479927462 52.28038994641048))"
10542,"POLYGON ((4.948998479927462 52.282191748212284, 4.948998479927462 52.28399355001409, 4.951946209011931 52.28399355001409, 4.951946209011931 52.282191748212284, 4.948998479927462 52.282191748212284))"
10543,"POLYGON ((4.948998479927462 52.28399355001409, 4.948998479927462 52.28579535181589, 4.951946209011931 52.28579535181589, 4.951946209011931 52.28399355001409, 4.948998479927462 52.28399355001409))"
10544,"POLYGON ((4.948998479927462 52.28579535181589, 4.948998479927462 52.287597153617696, 4.951946209011931 52.287597153617696, 4.951946209011931 52.28579535181589, 4.948998479927462 52.28579535181589))"
10545,"POLYGON ((4.948998479927462 52.287597153617696, 4.948998479927462 52.2893989554195, 4.951946209011931 52.2893989554195, 4.951946209011931 52.287597153617696, 4.948998479927462 52.287597153617696))"
10546,"POLYGON ((4.948998479927462 52.2893989554195, 4.948998479927462 52.291200757221304, 4.951946209011931 52.291200757221304, 4.951946209011931 52.2893989554195, 4.948998479927462 52.2893989554195))"
10547,"POLYGON ((4.948998479927462 52.291200757221304, 4.948998479927462 52.29300255902311, 4.951946209011931 52.29300255902311, 4.951946209011931 52.291200757221304, 4.948998479927462 52.291200757221304))"
10548,"POLYGON ((4.948998479927462 52.29300255902311, 4.948998479927462 52.29480436082491, 4.951946209011931 52.29480436082491, 4.951946209011931 52.29300255902311, 4.948998479927462 52.29300255902311))"
10549,"POLYGON ((4.948998479927462 52.29480436082491, 4.948998479927462 52.296606162626716, 4.951946209011931 52.296606162626716, 4.951946209011931 52.29480436082491, 4.948998479927462 52.29480436082491))"
10550,"POLYGON ((4.948998479927462 52.296606162626716, 4.948998479927462 52.29840796442852, 4.951946209011931 52.29840796442852, 4.951946209011931 52.296606162626716, 4.948998479927462 52.296606162626716))"
10551,"POLYGON ((4.948998479927462 52.29840796442852, 4.948998479927462 52.300209766230324, 4.951946209011931 52.300209766230324, 4.951946209011931 52.29840796442852, 4.948998479927462 52.29840796442852))"
10552,"POLYGON ((4.948998479927462 52.300209766230324, 4.948998479927462 52.30201156803213, 4.951946209011931 52.30201156803213, 4.951946209011931 52.300209766230324, 4.948998479927462 52.300209766230324))"
10553,"POLYGON ((4.948998479927462 52.30201156803213, 4.948998479927462 52.30381336983393, 4.951946209011931 52.30381336983393, 4.951946209011931 52.30201156803213, 4.948998479927462 52.30201156803213))"
10554,"POLYGON ((4.948998479927462 52.30381336983393, 4.948998479927462 52.305615171635736, 4.951946209011931 52.305615171635736, 4.951946209011931 52.30381336983393, 4.948998479927462 52.30381336983393))"
10555,"POLYGON ((4.948998479927462 52.305615171635736, 4.948998479927462 52.30741697343754, 4.951946209011931 52.30741697343754, 4.951946209011931 52.305615171635736, 4.948998479927462 52.305615171635736))"
10556,"POLYGON ((4.948998479927462 52.30741697343754, 4.948998479927462 52.309218775239344, 4.951946209011931 52.309218775239344, 4.951946209011931 52.30741697343754, 4.948998479927462 52.30741697343754))"
10557,"POLYGON ((4.948998479927462 52.309218775239344, 4.948998479927462 52.31102057704115, 4.951946209011931 52.31102057704115, 4.951946209011931 52.309218775239344, 4.948998479927462 52.309218775239344))"
10558,"POLYGON ((4.948998479927462 52.31102057704115, 4.948998479927462 52.31282237884295, 4.951946209011931 52.31282237884295, 4.951946209011931 52.31102057704115, 4.948998479927462 52.31102057704115))"
10559,"POLYGON ((4.948998479927462 52.31282237884295, 4.948998479927462 52.314624180644756, 4.951946209011931 52.314624180644756, 4.951946209011931 52.31282237884295, 4.948998479927462 52.31282237884295))"
10560,"POLYGON ((4.948998479927462 52.314624180644756, 4.948998479927462 52.31642598244656, 4.951946209011931 52.31642598244656, 4.951946209011931 52.314624180644756, 4.948998479927462 52.314624180644756))"
10561,"POLYGON ((4.948998479927462 52.31642598244656, 4.948998479927462 52.318227784248364, 4.951946209011931 52.318227784248364, 4.951946209011931 52.31642598244656, 4.948998479927462 52.31642598244656))"
10562,"POLYGON ((4.948998479927462 52.318227784248364, 4.948998479927462 52.32002958605017, 4.951946209011931 52.32002958605017, 4.951946209011931 52.318227784248364, 4.948998479927462 52.318227784248364))"
10563,"POLYGON ((4.948998479927462 52.32002958605017, 4.948998479927462 52.32183138785197, 4.951946209011931 52.32183138785197, 4.951946209011931 52.32002958605017, 4.948998479927462 52.32002958605017))"
10564,"POLYGON ((4.948998479927462 52.32183138785197, 4.948998479927462 52.323633189653776, 4.951946209011931 52.323633189653776, 4.951946209011931 52.32183138785197, 4.948998479927462 52.32183138785197))"
10565,"POLYGON ((4.948998479927462 52.323633189653776, 4.948998479927462 52.32543499145558, 4.951946209011931 52.32543499145558, 4.951946209011931 52.323633189653776, 4.948998479927462 52.323633189653776))"
10566,"POLYGON ((4.948998479927462 52.32543499145558, 4.948998479927462 52.327236793257384, 4.951946209011931 52.327236793257384, 4.951946209011931 52.32543499145558, 4.948998479927462 52.32543499145558))"
10567,"POLYGON ((4.948998479927462 52.327236793257384, 4.948998479927462 52.32903859505919, 4.951946209011931 52.32903859505919, 4.951946209011931 52.327236793257384, 4.948998479927462 52.327236793257384))"
10568,"POLYGON ((4.948998479927462 52.32903859505919, 4.948998479927462 52.33084039686099, 4.951946209011931 52.33084039686099, 4.951946209011931 52.32903859505919, 4.948998479927462 52.32903859505919))"
10569,"POLYGON ((4.948998479927462 52.33084039686099, 4.948998479927462 52.332642198662796, 4.951946209011931 52.332642198662796, 4.951946209011931 52.33084039686099, 4.948998479927462 52.33084039686099))"
10570,"POLYGON ((4.948998479927462 52.332642198662796, 4.948998479927462 52.3344440004646, 4.951946209011931 52.3344440004646, 4.951946209011931 52.332642198662796, 4.948998479927462 52.332642198662796))"
10571,"POLYGON ((4.948998479927462 52.3344440004646, 4.948998479927462 52.336245802266404, 4.951946209011931 52.336245802266404, 4.951946209011931 52.3344440004646, 4.948998479927462 52.3344440004646))"
