grid_id,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4327,True,2.375,186.278,1.0,0.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,439973,Osdorp,2023-09-19,13,18.030499,75.97455,13.7305,13.919662,0.5,0.5,0.0,0.0,53.0,1006.4,1006.28174,36.44722,212.90524,72.72,17.0805,16.9305,16.880499,13.4305,0.646,0.603,0.533,0.633
4334,True,2.333,175.019,1.0,2.0,27.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,279167,Osdorp,2017-07-20,21,15.924,77.65301,12.024,14.935726,0.0,0.0,0.0,0.0,2.0,1011.6,1011.361,11.090103,234.24602,27.0,18.874,19.824001,16.474,11.824,0.662,0.547,0.503,0.622
4334,True,2.333,175.019,1.0,2.0,27.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,341015,Osdorp,2020-02-09,20,10.6675,91.05693,9.2675,3.5461116,1.9,1.9,0.0,0.0,61.0,983.7,983.3447,47.541813,234.86572,106.56,9.1675,6.9175,7.5175004,10.2675,0.738,0.683,0.69,0.672
4334,True,2.333,175.019,1.0,2.0,27.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,368665,Osdorp,2021-03-11,11,9.867499,69.83405,4.6175003,1.2217121,0.1,0.1,0.0,0.0,51.0,991.3,990.9411,50.392284,243.25197,108.0,8.4675,5.8175,6.5175004,9.2175,0.686,0.666,0.677,0.683
4344,True,2.271,120.914,1.0,6.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,342192,Osdorp,2020-02-24,17,9.45,88.83345,7.7,3.3773818,0.2,0.2,0.0,0.0,51.0,1001.2,1001.3211,37.54543,235.548,68.4,7.95,7.2,7.9,9.95,0.754,0.752,0.716,0.665
4344,True,2.271,120.914,1.0,6.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,411880,Osdorp,2022-10-05,16,17.6935,65.26788,11.0935,13.511139,0.0,0.0,0.0,0.0,3.0,1011.0,1011.0,30.993471,210.73541,59.039997,16.3435,14.143499,13.9435,13.7435,0.617,0.62,0.486,0.61
4348,True,2.307,170.295,0.0,0.0,22.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66173,Osdorp,2008-03-01,8,8.387,69.04541,3.037,-1.4888468,0.0,0.0,0.0,0.0,2.0,994.1,993.85864,56.697426,287.74475,92.88,7.387,7.287,6.987,9.087001,0.628,0.602,0.601,0.599
4459,True,2.372,223.706,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314851,Osdorp,2019-03-07,16,8.9045,70.87524,3.9045,1.8190317,0.1,0.1,0.0,0.0,51.0,991.9,991.2995,38.70628,226.50737,76.32,9.6545,8.2045,7.8045,9.7045,0.709,0.702,0.659,0.624
4459,True,2.372,223.706,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365823,Osdorp,2021-01-29,17,7.3675003,86.83153,5.3175,1.5833516,0.1,0.1,0.0,0.0,51.0,994.5,994.1368,31.780067,274.54794,56.519997,7.2175,5.6675,6.1175003,10.617499,0.732,0.738,0.708,0.662
4459,True,2.372,223.706,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424391,Osdorp,2023-03-13,14,14.187,60.853546,6.737,6.096304,0.0,0.0,0.0,0.0,0.0,991.6,991.6,49.78554,229.39879,90.72,12.137,6.487,6.037,9.537001,0.701,0.702,0.679,0.665
4461,True,2.282,203.387,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354591,Osdorp,2020-08-26,5,16.474,83.253105,13.624,11.33042,0.8,0.8,0.0,0.0,53.0,998.4,998.16455,43.274933,250.05753,79.2,15.724,17.324001,17.774,12.724,0.654,0.553,0.474,0.625
4461,True,2.282,203.387,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394171,Osdorp,2022-02-20,11,9.524,88.83963,7.774,3.469088,1.1,1.1,0.0,0.0,55.0,1003.0,1002.75745,37.550606,237.52882,68.4,7.724,6.624,7.624,9.824,0.754,0.741,0.704,0.68
4462,True,2.237,207.8,2.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6036,Osdorp,2018-11-20,7,3.2675,76.98232,-0.3825,-2.946988,0.0,0.0,0.0,0.0,3.0,1013.4,1013.0246,27.645092,81.764465,51.48,4.2675004,6.1175003,10.4175,13.5675,0.581,0.582,0.531,0.612
4462,True,2.237,207.8,2.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341981,Osdorp,2020-02-22,14,11.2675,78.78373,7.7175,4.9115734,0.0,0.0,0.0,0.0,3.0,1014.7,1014.3345,39.518097,239.9315,77.4,9.2675,7.5175004,7.8175,9.9675,0.703,0.715,0.712,0.681
4471,True,2.474,129.875,0.0,8.0,8.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,394374,Osdorp,2022-02-21,9,4.1435003,83.17539,1.5435,-4.109443,2.6,1.4999999,0.77,0.0,73.0,992.4,992.4,43.738148,235.39426,74.520004,4.9935,6.7935004,7.5935,9.7935,0.745,0.742,0.717,0.682
4472,True,2.223,136.283,0.0,14.0,27.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,394294,Osdorp,2022-02-20,21,9.9305,89.7824,8.330501,1.2353306,2.1,2.1,0.0,0.0,61.0,987.5,987.2618,56.625378,235.09743,104.76,8.4305,7.0305004,7.5805,9.830501,0.762,0.752,0.71,0.682
4576,True,2.316,169.545,0.0,1.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130729,Pieter,2012-11-25,12,9.6305,67.619415,3.9305,0.8310008,0.0,0.0,0.0,0.0,0.0,1004.4,1004.2786,50.495052,228.46832,82.799995,8.830501,8.1305,9.1805,12.2805,0.49,0.488,0.484,0.479
4577,True,2.083,215.439,8.0,1.0,30.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,433759,Pieter,2023-07-05,20,13.9805,87.45906,11.9305,13.120373,0.0,0.0,0.0,0.0,0.0,1013.1,1012.9794,10.009036,232.3057,20.880001,16.130499,16.2305,15.9305,10.830501,0.647,0.518,0.537,0.661
4577,True,2.083,215.439,8.0,1.0,30.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,434489,Pieter,2023-07-05,20,13.9805,87.45906,11.9305,13.120373,0.0,0.0,0.0,0.0,0.0,1013.1,1012.9794,10.009036,232.3057,20.880001,16.130499,16.2305,15.9305,10.830501,0.647,0.518,0.537,0.661
