,id,service_area,geometry
398,398,Aalsmeer,"POLYGON ((4.7102324240854685 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.24795751397801, 4.7102324240854685 52.24795751397801, 4.7102324240854685 52.24975931577981))"
399,399,Aalsmeer,"POLYGON ((4.7102324240854685 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.24975931577981, 4.7102324240854685 52.24975931577981, 4.7102324240854685 52.251561117581616))"
400,400,Aalsmeer,"POLYGON ((4.7102324240854685 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.251561117581616, 4.7102324240854685 52.251561117581616, 4.7102324240854685 52.25336291938342))"
515,515,Aalsmeer,"POLYGON ((4.7131801531699375 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.233543099563576, 4.7131801531699375 52.233543099563576, 4.7131801531699375 52.23534490136538))"
516,516,Aalsmeer,"POLYGON ((4.7131801531699375 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23534490136538, 4.7131801531699375 52.23534490136538, 4.7131801531699375 52.237146703167184))"
517,517,Aalsmeer,"POLYGON ((4.7131801531699375 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.237146703167184, 4.7131801531699375 52.237146703167184, 4.7131801531699375 52.23894850496899))"
518,518,Aalsmeer,"POLYGON ((4.7131801531699375 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.23894850496899, 4.7131801531699375 52.23894850496899, 4.7131801531699375 52.24075030677079))"
519,519,Aalsmeer,"POLYGON ((4.7131801531699375 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.24075030677079, 4.7131801531699375 52.24075030677079, 4.7131801531699375 52.242552108572596))"
520,520,Aalsmeer,"POLYGON ((4.7131801531699375 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.242552108572596, 4.7131801531699375 52.242552108572596, 4.7131801531699375 52.2443539103744))"
521,521,Aalsmeer,"POLYGON ((4.7131801531699375 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.2443539103744, 4.7131801531699375 52.2443539103744, 4.7131801531699375 52.246155712176204))"
522,522,Aalsmeer,"POLYGON ((4.7131801531699375 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.246155712176204, 4.7131801531699375 52.246155712176204, 4.7131801531699375 52.24795751397801))"
523,523,Aalsmeer,"POLYGON ((4.7131801531699375 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.24795751397801, 4.7131801531699375 52.24795751397801, 4.7131801531699375 52.24975931577981))"
524,524,Aalsmeer,"POLYGON ((4.7131801531699375 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.251561117581616))"
525,525,Aalsmeer,"POLYGON ((4.7131801531699375 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.25336291938342))"
