,Unnamed: 0,grid_id,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
1994,4585,4585,Osdorp,"POLYGON ((4.807507483872947 52.36147102749166, 4.810455212957416 52.36147102749166, 4.810455212957416 52.359669225689856, 4.807507483872947 52.359669225689856, 4.807507483872947 52.36147102749166))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,4586,4586,Osdorp,"POLYGON ((4.807507483872947 52.363272829293464, 4.810455212957416 52.363272829293464, 4.810455212957416 52.36147102749166, 4.807507483872947 52.36147102749166, 4.807507483872947 52.363272829293464))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,4587,4587,Osdorp,"POLYGON ((4.807507483872947 52.36507463109527, 4.810455212957416 52.36507463109527, 4.810455212957416 52.363272829293464, 4.807507483872947 52.363272829293464, 4.807507483872947 52.36507463109527))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,4588,4588,Osdorp,"POLYGON ((4.807507483872947 52.36687643289707, 4.810455212957416 52.36687643289707, 4.810455212957416 52.36507463109527, 4.807507483872947 52.36507463109527, 4.807507483872947 52.36687643289707))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,4589,4589,Osdorp,"POLYGON ((4.807507483872947 52.368678234698876, 4.810455212957416 52.368678234698876, 4.810455212957416 52.36687643289707, 4.807507483872947 52.36687643289707, 4.807507483872947 52.368678234698876))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,4590,4590,Osdorp,"POLYGON ((4.807507483872947 52.37048003650068, 4.810455212957416 52.37048003650068, 4.810455212957416 52.368678234698876, 4.807507483872947 52.368678234698876, 4.807507483872947 52.37048003650068))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,4591,4591,Osdorp,"POLYGON ((4.807507483872947 52.372281838302484, 4.810455212957416 52.372281838302484, 4.810455212957416 52.37048003650068, 4.807507483872947 52.37048003650068, 4.807507483872947 52.372281838302484))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,4592,4592,Osdorp,"POLYGON ((4.807507483872947 52.37408364010429, 4.810455212957416 52.37408364010429, 4.810455212957416 52.372281838302484, 4.807507483872947 52.372281838302484, 4.807507483872947 52.37408364010429))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,4593,4593,Osdorp,"POLYGON ((4.807507483872947 52.37588544190609, 4.810455212957416 52.37588544190609, 4.810455212957416 52.37408364010429, 4.807507483872947 52.37408364010429, 4.807507483872947 52.37588544190609))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,4594,4594,Osdorp,"POLYGON ((4.807507483872947 52.377687243707896, 4.810455212957416 52.377687243707896, 4.810455212957416 52.37588544190609, 4.807507483872947 52.37588544190609, 4.807507483872947 52.377687243707896))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
