grid_id,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Fraxinus,Alnus,Salix,Ulmus,Tilia,Onbekend,Quercus,Robinia,Betula,Crataegus,Carpinus,Overig,Prunus,Platanus,Malus,has_trees
4463,Osdorp,"POLYGON ((4.804559754788478 52.36687643289707, 4.807507483872947 52.36687643289707, 4.807507483872947 52.36507463109527, 4.804559754788478 52.36507463109527, 4.804559754788478 52.36687643289707))",True,10.343,0.253,2001.721,0.0,1.0,6.0,1.0,1.0,0.0,41.0,0.0,1.0,0.0,9.0,0.0,1.0,16.0,12.0,15.0,0.0,True
4464,Osdorp,"POLYGON ((4.804559754788478 52.368678234698876, 4.807507483872947 52.368678234698876, 4.807507483872947 52.36687643289707, 4.804559754788478 52.36687643289707, 4.804559754788478 52.368678234698876))",True,10.125,0.278,1997.464,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,True
4465,Osdorp,"POLYGON ((4.804559754788478 52.37048003650068, 4.807507483872947 52.37048003650068, 4.807507483872947 52.368678234698876, 4.804559754788478 52.368678234698876, 4.804559754788478 52.37048003650068))",True,11.339,0.327,1937.935,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,True
4466,Osdorp,"POLYGON ((4.804559754788478 52.372281838302484, 4.807507483872947 52.372281838302484, 4.807507483872947 52.37048003650068, 4.804559754788478 52.37048003650068, 4.804559754788478 52.372281838302484))",True,13.5,0.822,1779.4,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4467,Osdorp,"POLYGON ((4.804559754788478 52.37408364010429, 4.807507483872947 52.37408364010429, 4.807507483872947 52.372281838302484, 4.804559754788478 52.372281838302484, 4.804559754788478 52.37408364010429))",True,16.179,0.486,1942.456,4.0,6.0,6.0,0.0,1.0,1.0,87.0,1.0,0.0,1.0,11.0,1.0,0.0,24.0,1.0,3.0,0.0,True
4468,Osdorp,"POLYGON ((4.804559754788478 52.37588544190609, 4.807507483872947 52.37588544190609, 4.807507483872947 52.37408364010429, 4.804559754788478 52.37408364010429, 4.804559754788478 52.37588544190609))",True,9.75,0.217,1936.252,0.0,2.0,0.0,2.0,0.0,1.0,29.0,1.0,0.0,0.0,2.0,0.0,0.0,26.0,14.0,34.0,0.0,True
4469,Osdorp,"POLYGON ((4.804559754788478 52.377687243707896, 4.807507483872947 52.377687243707896, 4.807507483872947 52.37588544190609, 4.804559754788478 52.37588544190609, 4.804559754788478 52.377687243707896))",True,9.762,0.35,1798.351,0.0,4.0,7.0,0.0,0.0,9.0,1.0,10.0,17.0,0.0,6.0,0.0,0.0,14.0,4.0,34.0,8.0,True
4470,Osdorp,"POLYGON ((4.804559754788478 52.3794890455097, 4.807507483872947 52.3794890455097, 4.807507483872947 52.377687243707896, 4.804559754788478 52.377687243707896, 4.804559754788478 52.3794890455097))",True,11.365,0.0,1940.074,0.0,1.0,8.0,0.0,2.0,1.0,5.0,0.0,11.0,0.0,0.0,2.0,1.0,5.0,7.0,52.0,0.0,True
4471,Osdorp,"POLYGON ((4.804559754788478 52.381290847311504, 4.807507483872947 52.381290847311504, 4.807507483872947 52.3794890455097, 4.804559754788478 52.3794890455097, 4.804559754788478 52.381290847311504))",True,12.132,0.0,1858.617,1.0,1.0,1.0,1.0,19.0,0.0,8.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,True
4472,Osdorp,"POLYGON ((4.804559754788478 52.38309264911331, 4.807507483872947 52.38309264911331, 4.807507483872947 52.381290847311504, 4.804559754788478 52.381290847311504, 4.804559754788478 52.38309264911331))",True,10.565,0.75,1931.938,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,1.0,34.0,1.0,True
4473,Osdorp,"POLYGON ((4.804559754788478 52.38489445091511, 4.807507483872947 52.38489445091511, 4.807507483872947 52.38309264911331, 4.804559754788478 52.38309264911331, 4.804559754788478 52.38489445091511))",True,9.062,0.438,1826.198,10.0,3.0,18.0,0.0,1.0,19.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,12.0,0.0,6.0,True
4474,GBA,"POLYGON ((4.804559754788478 52.386696252716916, 4.807507483872947 52.386696252716916, 4.807507483872947 52.38489445091511, 4.804559754788478 52.38489445091511, 4.804559754788478 52.386696252716916))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4475,GBA,"POLYGON ((4.804559754788478 52.38849805451872, 4.807507483872947 52.38849805451872, 4.807507483872947 52.386696252716916, 4.804559754788478 52.386696252716916, 4.804559754788478 52.38849805451872))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4476,GBA,"POLYGON ((4.804559754788478 52.390299856320524, 4.807507483872947 52.390299856320524, 4.807507483872947 52.38849805451872, 4.804559754788478 52.38849805451872, 4.804559754788478 52.390299856320524))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4477,GBA,"POLYGON ((4.804559754788478 52.39210165812233, 4.807507483872947 52.39210165812233, 4.807507483872947 52.390299856320524, 4.804559754788478 52.390299856320524, 4.804559754788478 52.39210165812233))",True,7.359,0.153,1944.242,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4478,GBA,"POLYGON ((4.804559754788478 52.39390345992413, 4.807507483872947 52.39390345992413, 4.807507483872947 52.39210165812233, 4.804559754788478 52.39210165812233, 4.804559754788478 52.39390345992413))",True,7.5,0.183,2003.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4479,GBA,"POLYGON ((4.804559754788478 52.39570526172594, 4.807507483872947 52.39570526172594, 4.807507483872947 52.39390345992413, 4.804559754788478 52.39390345992413, 4.804559754788478 52.39570526172594))",True,6.545,0.195,2000.636,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
4480,GBA,"POLYGON ((4.804559754788478 52.39750706352774, 4.807507483872947 52.39750706352774, 4.807507483872947 52.39570526172594, 4.804559754788478 52.39570526172594, 4.804559754788478 52.39750706352774))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4481,GBA,"POLYGON ((4.804559754788478 52.399308865329544, 4.807507483872947 52.399308865329544, 4.807507483872947 52.39750706352774, 4.804559754788478 52.39750706352774, 4.804559754788478 52.399308865329544))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4482,GBA,"POLYGON ((4.804559754788478 52.40111066713135, 4.807507483872947 52.40111066713135, 4.807507483872947 52.399308865329544, 4.804559754788478 52.399308865329544, 4.804559754788478 52.40111066713135))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4483,GBA,"POLYGON ((4.804559754788478 52.40291246893315, 4.807507483872947 52.40291246893315, 4.807507483872947 52.40111066713135, 4.804559754788478 52.40111066713135, 4.804559754788478 52.40291246893315))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4484,GBA,"POLYGON ((4.804559754788478 52.40471427073496, 4.807507483872947 52.40471427073496, 4.807507483872947 52.40291246893315, 4.804559754788478 52.40291246893315, 4.804559754788478 52.40471427073496))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4485,GBA,"POLYGON ((4.804559754788478 52.40651607253676, 4.807507483872947 52.40651607253676, 4.807507483872947 52.40471427073496, 4.804559754788478 52.40471427073496, 4.804559754788478 52.40651607253676))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4486,GBA,"POLYGON ((4.804559754788478 52.408317874338564, 4.807507483872947 52.408317874338564, 4.807507483872947 52.40651607253676, 4.804559754788478 52.40651607253676, 4.804559754788478 52.408317874338564))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4487,GBA,"POLYGON ((4.804559754788478 52.41011967614037, 4.807507483872947 52.41011967614037, 4.807507483872947 52.408317874338564, 4.804559754788478 52.408317874338564, 4.804559754788478 52.41011967614037))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4488,GBA,"POLYGON ((4.804559754788478 52.41192147794217, 4.807507483872947 52.41192147794217, 4.807507483872947 52.41011967614037, 4.804559754788478 52.41011967614037, 4.804559754788478 52.41192147794217))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4489,GBA,"POLYGON ((4.804559754788478 52.41372327974398, 4.807507483872947 52.41372327974398, 4.807507483872947 52.41192147794217, 4.804559754788478 52.41192147794217, 4.804559754788478 52.41372327974398))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4490,GBA,"POLYGON ((4.804559754788478 52.41552508154578, 4.807507483872947 52.41552508154578, 4.807507483872947 52.41372327974398, 4.804559754788478 52.41372327974398, 4.804559754788478 52.41552508154578))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4491,GBA,"POLYGON ((4.804559754788478 52.417326883347584, 4.807507483872947 52.417326883347584, 4.807507483872947 52.41552508154578, 4.804559754788478 52.41552508154578, 4.804559754788478 52.417326883347584))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4492,GBA,"POLYGON ((4.804559754788478 52.41912868514939, 4.807507483872947 52.41912868514939, 4.807507483872947 52.417326883347584, 4.804559754788478 52.417326883347584, 4.804559754788478 52.41912868514939))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4493,GBA,"POLYGON ((4.804559754788478 52.42093048695119, 4.807507483872947 52.42093048695119, 4.807507483872947 52.41912868514939, 4.804559754788478 52.41912868514939, 4.804559754788478 52.42093048695119))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4494,GBA,"POLYGON ((4.804559754788478 52.422732288753, 4.807507483872947 52.422732288753, 4.807507483872947 52.42093048695119, 4.804559754788478 52.42093048695119, 4.804559754788478 52.422732288753))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4511,Uithoorn,"POLYGON ((4.807507483872947 52.228137694158164, 4.810455212957416 52.228137694158164, 4.810455212957416 52.22633589235636, 4.807507483872947 52.22633589235636, 4.807507483872947 52.228137694158164))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4512,Uithoorn,"POLYGON ((4.807507483872947 52.22993949595997, 4.810455212957416 52.22993949595997, 4.810455212957416 52.228137694158164, 4.807507483872947 52.228137694158164, 4.807507483872947 52.22993949595997))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4513,Uithoorn,"POLYGON ((4.807507483872947 52.23174129776177, 4.810455212957416 52.23174129776177, 4.810455212957416 52.22993949595997, 4.807507483872947 52.22993949595997, 4.807507483872947 52.23174129776177))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4514,Uithoorn,"POLYGON ((4.807507483872947 52.233543099563576, 4.810455212957416 52.233543099563576, 4.810455212957416 52.23174129776177, 4.807507483872947 52.23174129776177, 4.807507483872947 52.233543099563576))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4515,Uithoorn,"POLYGON ((4.807507483872947 52.23534490136538, 4.810455212957416 52.23534490136538, 4.810455212957416 52.233543099563576, 4.807507483872947 52.233543099563576, 4.807507483872947 52.23534490136538))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4516,Uithoorn,"POLYGON ((4.807507483872947 52.237146703167184, 4.810455212957416 52.237146703167184, 4.810455212957416 52.23534490136538, 4.807507483872947 52.23534490136538, 4.807507483872947 52.237146703167184))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4517,Uithoorn,"POLYGON ((4.807507483872947 52.23894850496899, 4.810455212957416 52.23894850496899, 4.810455212957416 52.237146703167184, 4.807507483872947 52.237146703167184, 4.807507483872947 52.23894850496899))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4518,Uithoorn,"POLYGON ((4.807507483872947 52.24075030677079, 4.810455212957416 52.24075030677079, 4.810455212957416 52.23894850496899, 4.807507483872947 52.23894850496899, 4.807507483872947 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4519,Uithoorn,"POLYGON ((4.807507483872947 52.242552108572596, 4.810455212957416 52.242552108572596, 4.810455212957416 52.24075030677079, 4.807507483872947 52.24075030677079, 4.807507483872947 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4520,Uithoorn,"POLYGON ((4.807507483872947 52.2443539103744, 4.810455212957416 52.2443539103744, 4.810455212957416 52.242552108572596, 4.807507483872947 52.242552108572596, 4.807507483872947 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4521,Uithoorn,"POLYGON ((4.807507483872947 52.246155712176204, 4.810455212957416 52.246155712176204, 4.810455212957416 52.2443539103744, 4.807507483872947 52.2443539103744, 4.807507483872947 52.246155712176204))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4522,Uithoorn,"POLYGON ((4.807507483872947 52.24795751397801, 4.810455212957416 52.24795751397801, 4.810455212957416 52.246155712176204, 4.807507483872947 52.246155712176204, 4.807507483872947 52.24795751397801))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4523,Uithoorn,"POLYGON ((4.807507483872947 52.24975931577981, 4.810455212957416 52.24975931577981, 4.810455212957416 52.24795751397801, 4.807507483872947 52.24795751397801, 4.807507483872947 52.24975931577981))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4524,Uithoorn,"POLYGON ((4.807507483872947 52.251561117581616, 4.810455212957416 52.251561117581616, 4.810455212957416 52.24975931577981, 4.807507483872947 52.24975931577981, 4.807507483872947 52.251561117581616))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4525,Uithoorn,"POLYGON ((4.807507483872947 52.25336291938342, 4.810455212957416 52.25336291938342, 4.810455212957416 52.251561117581616, 4.807507483872947 52.251561117581616, 4.807507483872947 52.25336291938342))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4526,Uithoorn,"POLYGON ((4.807507483872947 52.255164721185224, 4.810455212957416 52.255164721185224, 4.810455212957416 52.25336291938342, 4.807507483872947 52.25336291938342, 4.807507483872947 52.255164721185224))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4527,Uithoorn,"POLYGON ((4.807507483872947 52.25696652298703, 4.810455212957416 52.25696652298703, 4.810455212957416 52.255164721185224, 4.807507483872947 52.255164721185224, 4.807507483872947 52.25696652298703))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4528,Aalsmeer,"POLYGON ((4.807507483872947 52.25876832478883, 4.810455212957416 52.25876832478883, 4.810455212957416 52.25696652298703, 4.807507483872947 52.25696652298703, 4.807507483872947 52.25876832478883))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4529,Aalsmeer,"POLYGON ((4.807507483872947 52.260570126590636, 4.810455212957416 52.260570126590636, 4.810455212957416 52.25876832478883, 4.807507483872947 52.25876832478883, 4.807507483872947 52.260570126590636))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4530,Aalsmeer,"POLYGON ((4.807507483872947 52.26237192839244, 4.810455212957416 52.26237192839244, 4.810455212957416 52.260570126590636, 4.807507483872947 52.260570126590636, 4.807507483872947 52.26237192839244))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4531,Aalsmeer,"POLYGON ((4.807507483872947 52.264173730194244, 4.810455212957416 52.264173730194244, 4.810455212957416 52.26237192839244, 4.807507483872947 52.26237192839244, 4.807507483872947 52.264173730194244))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4532,Aalsmeer,"POLYGON ((4.807507483872947 52.26597553199605, 4.810455212957416 52.26597553199605, 4.810455212957416 52.264173730194244, 4.807507483872947 52.264173730194244, 4.807507483872947 52.26597553199605))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4533,Aalsmeer,"POLYGON ((4.807507483872947 52.26777733379785, 4.810455212957416 52.26777733379785, 4.810455212957416 52.26597553199605, 4.807507483872947 52.26597553199605, 4.807507483872947 52.26777733379785))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4534,Aalsmeer,"POLYGON ((4.807507483872947 52.269579135599656, 4.810455212957416 52.269579135599656, 4.810455212957416 52.26777733379785, 4.807507483872947 52.26777733379785, 4.807507483872947 52.269579135599656))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4535,Aalsmeer,"POLYGON ((4.807507483872947 52.27138093740146, 4.810455212957416 52.27138093740146, 4.810455212957416 52.269579135599656, 4.807507483872947 52.269579135599656, 4.807507483872947 52.27138093740146))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4536,Aalsmeer,"POLYGON ((4.807507483872947 52.273182739203264, 4.810455212957416 52.273182739203264, 4.810455212957416 52.27138093740146, 4.807507483872947 52.27138093740146, 4.807507483872947 52.273182739203264))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
