,id,zipcode,service_area,geometry
105,1015,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.23534490136538, 4.727918798592283 52.23534490136538, 4.727918798592283 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23534490136538))"
106,1016,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.237146703167184, 4.727918798592283 52.237146703167184, 4.727918798592283 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.237146703167184))"
107,1017,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.23894850496899, 4.727918798592283 52.23894850496899, 4.727918798592283 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23894850496899))"
108,1018,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.24075030677079, 4.727918798592283 52.24075030677079, 4.727918798592283 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.24075030677079))"
109,1019,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.242552108572596, 4.727918798592283 52.242552108572596, 4.727918798592283 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.242552108572596))"
110,1020,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.2443539103744, 4.727918798592283 52.2443539103744, 4.727918798592283 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.2443539103744))"
111,1021,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.246155712176204, 4.727918798592283 52.246155712176204, 4.727918798592283 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.246155712176204))"
112,1022,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.24795751397801, 4.727918798592283 52.24795751397801, 4.727918798592283 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.24795751397801))"
113,1023,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.24975931577981, 4.727918798592283 52.24975931577981, 4.727918798592283 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.24975931577981))"
114,1024,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.251561117581616, 4.727918798592283 52.251561117581616, 4.727918798592283 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.251561117581616))"
115,1025,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.25336291938342, 4.727918798592283 52.25336291938342, 4.727918798592283 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.25336291938342))"
116,1026,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.255164721185224, 4.727918798592283 52.255164721185224, 4.727918798592283 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.255164721185224))"
117,1027,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.25696652298703, 4.727918798592283 52.25696652298703, 4.727918798592283 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25696652298703))"
118,1028,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.25876832478883, 4.727918798592283 52.25876832478883, 4.727918798592283 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.25876832478883))"
119,1029,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.260570126590636, 4.727918798592283 52.260570126590636, 4.727918798592283 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.260570126590636))"
120,1030,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.26237192839244, 4.727918798592283 52.26237192839244, 4.727918798592283 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.26237192839244))"
121,1031,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.264173730194244, 4.727918798592283 52.264173730194244, 4.727918798592283 52.26237192839244, 4.724971069507814 52.26237192839244, 4.724971069507814 52.264173730194244))"
122,1127,1431,Aalsmeer,"POLYGON ((4.727918798592283 52.21192147794193, 4.730866527676752 52.21192147794193, 4.730866527676752 52.210119676140124, 4.727918798592283 52.210119676140124, 4.727918798592283 52.21192147794193))"
123,1128,1431,Aalsmeer,"POLYGON ((4.727918798592283 52.21372327974373, 4.730866527676752 52.21372327974373, 4.730866527676752 52.21192147794193, 4.727918798592283 52.21192147794193, 4.727918798592283 52.21372327974373))"
124,1129,1431,Aalsmeer,"POLYGON ((4.727918798592283 52.215525081545536, 4.730866527676752 52.215525081545536, 4.730866527676752 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.215525081545536))"
125,1130,1424,Aalsmeer,"POLYGON ((4.727918798592283 52.21732688334734, 4.730866527676752 52.21732688334734, 4.730866527676752 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21732688334734))"
