Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2023-04-29,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17097,5.103754256862087,52.3821917482124,11.737,69.00714,6.237,8.314856,0.0,0.0,0.0,0.0,0.0,1022.2,1022.2,0.0,0.0,0.0,0.0,0.14687192,0.42786103,16.981165,22.545315,21.124796,19.592375,29.519999,14.787001,10.437,9.137,9.137,0.642,0.664,0.673,0.649
2023-07-05,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5780,4.838458639259873,52.26147102749154,13.356501,80.42601,10.0565,7.573683,1.6,1.6,0.0,0.0,61.0,1005.4,1005.87946,100.0,33.0,100.0,45.0,0.08773818,0.300439,39.875587,62.57997,263.26004,264.38788,76.67999,13.356501,15.856501,16.6065,12.6565,0.405,0.252,0.267,0.369
2023-10-04,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13359,5.015322384328015,52.403813369834054,14.95,75.721954,10.7,12.492405,0.0,0.0,0.0,0.0,3.0,1023.4,1023.64307,99.0,45.0,52.0,91.0,0.038712166,0.41309953,18.359999,30.926493,241.92761,245.22488,32.039997,15.35,15.85,16.05,13.95,0.611,0.595,0.532,0.622
2022-03-09,11,True,2.365,173.619,0.0,0.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8486,4.900360950033722,52.40741697343766,8.9305,62.851585,2.2305,5.315444,0.0,0.0,0.0,0.0,0.0,1022.3,1022.0524,0.0,0.0,0.0,0.0,0.20500761,0.42531466,12.758432,18.0,163.61038,163.73972,26.64,5.5305004,4.3305,6.6305003,9.4305,0.624,0.648,0.698,0.696
2023-08-21,7,True,2.255,144.098,1.0,1.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6331,4.850249555597749,52.35336291938354,18.6285,86.212875,16.2785,19.911602,0.0,0.0,0.0,0.0,0.0,1023.7,1022.622,0.0,0.0,0.0,0.0,0.111001685,0.29609323,6.12,13.979872,208.07239,235.49141,13.32,16.328499,18.6285,16.3785,12.528501,0.541,0.556,0.531,0.642
2023-08-22,21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15820,5.074276966017396,52.333543099563705,16.280499,93.504944,15.2305,17.171501,0.0,0.0,0.0,0.0,0.0,1021.0,1020.8794,0.0,0.0,0.0,0.0,0.0,0.1203022,5.95906,15.315873,244.98314,246.44772,9.36,19.3305,19.530499,16.630499,12.6805,0.474,0.513,0.505,0.634
2023-06-10,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068,4.773608599401553,52.32993949596009,27.3195,41.143734,12.9695,26.764948,0.0,0.0,0.0,0.0,0.0,1015.4,1015.9772,11.400001,0.0,19.0,0.0,0.5444075,2.1379323,15.941944,21.659916,64.59232,68.5522,31.319998,25.469501,17.969501,13.1195,9.8195,0.409,0.489,0.594,0.673
2023-11-22,9,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14738,5.047747404257175,52.41102057704127,3.45,95.17122,2.75,0.15776348,0.0,0.0,0.0,0.0,3.0,1030.7,1030.9545,96.299995,73.0,1.0,100.0,0.017298598,0.03788477,11.183201,19.70815,183.69131,189.46225,17.64,4.25,8.2,10.85,13.7,0.699,0.71,0.713,0.65
2022-10-28,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11716,4.977001906229918,52.37138093740158,19.137,78.63972,15.337001,18.300453,0.0,0.0,0.0,0.0,1.0,1015.8,1015.8,30.000002,0.0,0.0,100.0,0.16911797,0.47354448,18.079027,36.785236,192.65256,200.0311,32.760002,15.537001,13.837001,13.287001,13.737,0.581,0.573,0.484,0.602
2022-05-07,18,True,2.233,180.302,0.0,5.0,88.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8582,4.903308679118192,52.35516472118534,13.5785,78.85945,9.9785,10.761345,0.0,0.0,0.0,0.0,0.0,1025.1,1024.0016,12.0,4.0,14.0,0.0,0.087443545,0.32920492,19.386593,28.551426,21.801476,23.008904,37.8,17.228498,13.528501,10.1285,9.028501,0.491,0.503,0.563,0.673
2023-01-26,9,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4776,4.814876806584119,52.25426382028433,5.063,92.92482,4.013,1.1144848,0.0,0.0,0.0,0.0,0.0,1025.7,1026.33,1.5,1.0,1.0,0.0,0.017521722,0.062149048,17.339897,29.888672,4.763556,9.008436,29.16,3.613,3.113,5.163,8.912999,0.404,0.404,0.416,0.395
2023-12-15,10,True,2.254,178.14,0.0,1.0,27.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,13329,5.015322384328015,52.349759315779934,7.874,93.39698,6.874,5.2787914,0.0,0.0,0.0,0.0,2.0,1033.2,1032.9487,51.9,26.0,0.0,95.0,0.031683072,0.07037413,12.324414,21.67487,263.29025,274.76355,19.08,5.674,6.324,7.874,12.674,0.703,0.709,0.715,0.672
2023-12-01,13,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9818,4.9327859699628815,52.32993949596009,0.61749995,77.397804,-2.8825,-3.4720707,0.0,0.0,0.0,0.0,0.0,1008.7,1008.32245,1.8,2.0,0.0,0.0,0.059454985,0.14486277,10.691453,13.755579,44.999897,47.12111,20.16,1.3175,3.3174999,9.2175,13.3175,0.698,0.71,0.712,0.657
2022-03-30,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391,4.711706288627703,52.23624580226628,9.1,64.70287,2.8,5.6284227,0.0,0.0,0.0,0.0,3.0,1004.4,1004.64294,100.0,82.0,100.0,96.0,0.16589336,0.40876186,12.4811535,15.876775,56.768288,57.030594,26.64,10.3,8.35,8.4,7.45,0.309,0.32,0.355,0.402
2023-02-23,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16374,5.086067882355273,52.430840396861115,8.937,78.70549,5.437,6.0176296,0.1,0.1,0.0,0.0,51.0,1016.1,1016.1,100.0,100.0,26.0,0.0,0.084308796,0.2439025,12.313893,16.766108,344.7448,345.06854,25.56,8.287001,7.537,7.487,10.137,0.666,0.665,0.666,0.632
2023-03-11,22,True,2.203,225.13,0.0,0.0,12.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3709,4.788347244823899,52.35876832478895,-1.2195001,92.56582,-2.2695,-4.4221587,0.0,0.0,0.0,0.03,3.0,1012.0,1011.87286,82.5,0.0,100.0,75.0,0.0,0.04168874,5.154415,8.049845,155.22488,169.6952,8.28,0.7305,2.5805,6.1305003,9.580501,0.704,0.713,0.68,0.665
2022-07-15,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382,4.994688280736732,52.220029586050046,19.7,57.02626,10.95,17.57771,0.0,0.0,0.0,0.0,2.0,1022.4,1022.63837,62.700005,31.0,58.0,0.0,0.31269687,0.986851,16.563911,21.9718,268.75467,268.12216,32.399998,21.6,18.55,15.85,11.2,0.456,0.493,0.516,0.644
2022-03-29,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16934,5.100806527777618,52.31372327974385,10.724,60.441196,3.374,6.297064,0.0,0.0,0.0,0.0,0.0,1010.0,1009.39233,2.6999998,3.0,0.0,0.0,0.11710499,0.510707,19.770523,27.162708,33.111355,34.743248,35.64,14.874,10.124,8.424,6.874,0.038,0.09,0.173,0.269
2022-01-07,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1882,4.747079037641331,52.220029586050046,3.7065,92.84952,2.6565,-0.7200215,0.4,0.4,0.0,0.0,51.0,1008.5,1008.99805,54.299995,33.0,40.0,2.0,0.0,0.057122707,18.844202,32.59939,223.45189,226.78989,34.2,3.6565,4.8065,7.5065,9.606501,0.417,0.413,0.41,0.395
2022-04-16,9,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16619,5.09196334052421,52.42183138785209,11.787001,72.4182,6.987,8.276993,0.0,0.0,0.0,0.0,1.0,1033.6,1033.6,42.3,47.0,0.0,0.0,0.20700958,0.38202143,18.782204,24.014996,102.17145,102.99462,34.2,10.587001,10.087001,8.537001,8.987,0.584,0.609,0.603,0.662
2022-05-20,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527,4.785399515739429,52.25606562208612,15.35,85.32578,12.9,13.778122,6.5,6.5,0.0,0.0,63.0,1014.8,1015.1606,100.0,100.0,100.0,99.0,0.118835494,0.25615335,17.072504,23.686249,335.05612,335.77228,28.44,16.15,15.4,13.4,9.05,0.426,0.265,0.284,0.373
2023-10-27,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6392,4.853197284682216,52.238047604068086,11.0935,92.31453,9.893499,9.72473,0.0,0.0,0.0,0.0,3.0,991.9,992.1387,100.0,89.0,54.0,100.0,0.037398178,0.101668596,9.290511,14.658676,144.46223,155.32315,19.08,10.893499,10.893499,12.9935,15.893499,0.425,0.426,0.4,0.344
2023-05-06,20,True,2.703,223.239,0.0,10.0,29.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5967,4.841406368344342,52.37318273920339,13.7305,93.37943,12.6805,13.2976265,0.2,0.2,0.0,0.0,51.0,1016.2,1015.9581,90.00001,0.0,100.0,100.0,0.015943171,0.104106784,8.759178,16.954432,80.53775,86.347855,15.119999,14.830501,13.2305,9.830501,9.0305,0.651,0.632,0.676,0.679
2023-09-07,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16329,5.086067882355273,52.349759315779934,17.1065,86.6185,14.856501,17.241251,0.0,0.0,0.0,0.0,1.0,1020.1,1020.1,26.400002,0.0,0.0,88.0,0.022086468,0.261191,10.163227,20.172853,112.93214,124.82456,15.84,17.4065,19.7565,17.706501,16.3065,0.136,0.179,0.149,0.221
2022-08-23,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840,4.720549475881111,52.36957913559978,17.832499,81.29005,14.5825,18.28331,0.0,0.0,0.0,0.0,0.0,1014.6,1015.19574,18.6,0.0,20.0,22.0,0.040511597,0.38230658,7.289445,14.77755,212.90524,235.92276,10.799999,17.7825,19.3825,18.7325,15.632501,0.263,0.252,0.233,0.341
2022-01-25,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3653,4.788347244823899,52.25786742388793,-0.25,97.8409,-0.55,-3.016868,0.0,0.0,0.0,0.0,3.0,1034.4,1034.7883,89.1,99.0,0.0,0.0,0.005871198,0.012996376,3.8268526,3.7585104,228.81418,253.30067,6.12,1.85,4.5,6.25,8.6,0.367,0.374,0.395,0.399
2022-11-07,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16627,5.0949110696086795,52.21102057704103,10.8325,88.6489,9.0325,6.5458584,0.3,0.3,0.0,0.0,51.0,1006.7,1006.5789,100.0,50.0,73.0,98.0,0.031547494,0.14758623,27.666182,45.63062,212.24243,214.06622,49.32,9.6825,10.4325,13.0325,13.7325,0.729,0.674,0.575,0.618
2023-10-13,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15248,5.059538320595052,52.42903859505931,17.95,88.09584,15.95,15.319033,0.0,0.0,0.0,0.0,2.0,998.5,998.7346,57.600002,15.0,24.0,99.0,0.0288272,0.24502158,32.048088,49.59645,218.15727,219.69904,60.479996,16.85,16.2,15.85,14.05,0.724,0.707,0.544,0.621
2023-12-22,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086,4.750026766725801,52.36237192839256,8.5195,86.05081,6.3195,3.0338202,2.4,2.4,0.0,0.0,61.0,1001.7,1002.30774,100.0,100.0,94.0,100.0,0.051206995,0.1553253,31.259941,48.81419,298.92633,298.64407,65.88,7.7194996,7.8694997,8.5195,12.419499,0.754,0.738,0.736,0.703
2022-10-10,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534,4.7146540177121725,52.268678234698754,13.3195,76.47453,9.2695,10.309336,0.1,0.1,0.0,0.0,51.0,1017.0,1017.60675,50.4,6.0,75.0,0.0,0.07965425,0.360232,19.35314,31.565245,313.4926,315.0001,43.92,12.4695,12.0195,13.9695,15.919499,0.349,0.34,0.305,0.332
2023-05-25,14,True,2.358,192.844,0.0,2.0,36.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4220,4.800138161161775,52.37858814460879,15.524,60.963314,8.024,12.762114,0.0,0.0,0.0,0.0,1.0,1029.2,1028.8347,27.599998,9.0,0.0,65.0,0.30924994,0.68921137,16.610792,21.924562,29.898815,29.511406,33.48,16.374,13.124,11.824,9.324,0.564,0.593,0.654,0.678
2022-01-18,9,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5551,4.832563181090935,52.29930886532942,4.787,97.58512,4.437,2.03403,0.0,0.0,0.0,0.0,3.0,1038.9,1039.0276,93.6,72.0,0.0,96.0,0.0075278794,0.020808518,9.726664,19.08,231.009,238.10924,15.119999,4.237,5.287,6.187,8.937,0.389,0.394,0.405,0.398
