Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001
2022-02-20,16,14286,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,13,15641,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-30,11,2212,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,15,15047,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,10,16878,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,17,544,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,10,1297,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,16,63,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-10,15,13674,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,14,743,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,6627,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,20,5215,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,11,1780,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,13,3022,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,18,2080,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-21,13,15205,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,17,16764,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-26,2,14229,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,9,12359,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,15,7500,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,8,15308,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-26,9,15121,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,8,15970,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,15,17163,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,11,8907,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,11,16953,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-13,15,9563,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,7008,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,20,4680,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,8418,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,18,17191,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-25,14,15238,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-09,15,13953,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,13,14869,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-17,8,10533,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-13,0,13896,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,13,14757,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-06,12,16571,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,11,9180,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,8511,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,19,10739,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,10,1960,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,18,661,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,12,1477,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,10,13209,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,11,3617,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,9,9818,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,10,2930,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,10,5279,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,12,8055,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-20,14,952,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,23,6561,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,18,1521,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,10,1158,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,21,15251,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-29,14,14131,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,15907,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-04,12,3125,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,16,15233,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06,21,11120,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,11,1837,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,9,13338,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,8,3505,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,9,10719,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,12,8534,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,17,3823,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,17,15561,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,11,14888,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,11,15361,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,13,4672,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,11,2921,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,16,11006,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,10,14075,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,13,15028,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,13,1077,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,17,14663,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,11,16255,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,12,6515,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,19,16308,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,13,15585,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,18,13696,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,19,12668,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,9,1303,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,20,11339,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,19,2275,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,11,295,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,2546,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,18,12487,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-12,8,12078,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,15,13104,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-20,14,8252,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,18,13720,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,17,11827,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,15,16375,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,18,4763,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,17,12571,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,12,11145,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-19,14,13037,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,17,16128,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,16,15082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-13,14,7406,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,2000,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,9864,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,10,16649,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
