Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2022-01-31,13,8462,True,10.04,0.0,1780.818,0.0,0.0,0.0,0.0,12.0,24.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,15.0,16.0,3.0,0.0
2023-09-13,15,8942,True,12.661,0.444,1968.464,3.0,3.0,1.0,0.0,55.0,3.0,2.0,0.0,14.0,25.0,3.0,0.0,0.0,4.0,0.0,12.0,0.0
2023-11-02,19,5530,True,20.773,0.75,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-03-11,14,7430,True,13.093,0.485,1925.741,17.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,7.0,14.0,6.0,1.0,1.0,8.0,16.0,18.0,0.0
2022-02-18,16,12411,True,12.316,0.0,1975.194,14.0,0.0,0.0,0.0,96.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0
2023-07-05,11,7934,True,9.121,0.292,1464.64,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,27.0,0.0,46.0,0.0
2023-07-05,11,10175,True,12.042,0.408,1953.773,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0
2020-08-24,8,14283,True,13.494,0.0,1981.179,10.0,37.0,1.0,0.0,0.0,4.0,7.0,22.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
2009-09-12,1,10686,True,12.206,0.0,1886.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
2019-02-09,14,10160,True,13.108,0.59,1971.509,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,13.0,0.0,26.0,0.0
2020-12-26,15,5710,True,21.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,17,10997,True,9.197,0.75,1999.885,1.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0
2022-07-14,18,7261,True,9.85,0.25,1690.694,9.0,11.0,4.0,11.0,7.0,29.0,4.0,10.0,24.0,2.0,8.0,0.0,1.0,2.0,4.0,157.0,1.0
2022-01-02,14,14105,True,14.387,0.426,1899.074,12.0,0.0,1.0,0.0,39.0,34.0,3.0,8.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,11.0,0.0
2010-12-09,10,6237,True,14.118,0.0,1905.33,21.0,0.0,0.0,0.0,48.0,1.0,2.0,0.0,9.0,2.0,0.0,1.0,0.0,4.0,0.0,27.0,0.0
2019-01-13,19,2838,True,9.537,0.23,1989.0,0.0,0.0,0.0,10.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,11,7101,True,9.314,0.0,1991.107,4.0,6.0,3.0,1.0,1.0,5.0,6.0,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,17.0,0.0
2023-07-05,11,8640,True,10.631,0.0,1662.698,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,5.0,0.0,11.0,0.0
2017-09-13,9,9153,True,13.024,0.0,1839.452,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,6.0,0.0
2017-09-13,10,12088,True,10.5,0.75,1930.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,13,4065,True,14.231,0.444,1978.29,0.0,0.0,0.0,14.0,17.0,0.0,0.0,6.0,0.0,12.0,0.0,1.0,0.0,0.0,5.0,12.0,2.0
2020-12-27,12,8618,True,12.218,0.335,1994.071,6.0,21.0,8.0,5.0,4.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,37.0,1.0,18.0,0.0
2007-01-20,11,8940,True,12.958,0.438,1962.464,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,23.0,0.0,4.0,0.0
2022-03-02,9,8991,True,12.384,0.4,1989.045,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,17.0,2.0,9.0,0.0,11.0,0.0,62.0,0.0
2022-06-02,18,8468,True,10.778,0.0,1862.121,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.0,0.0,5.0,0.0,0.0,0.0,48.0,0.0
2022-02-18,17,7936,True,11.0,0.273,1875.392,18.0,0.0,3.0,0.0,0.0,3.0,6.0,6.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
2022-02-18,17,8975,True,8.271,0.25,1872.943,0.0,0.0,0.0,0.0,2.0,4.0,0.0,13.0,1.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-10,0,11170,True,14.878,0.633,1949.667,2.0,7.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0
2012-01-05,20,6732,True,6.051,0.0,1934.833,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-02-18,23,3190,True,10.995,0.0,1840.584,5.0,0.0,20.0,6.0,0.0,5.0,2.0,10.0,10.0,0.0,0.0,1.0,2.0,6.0,3.0,31.0,0.0
2007-03-18,14,14619,True,9.66,0.31,1754.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2019-12-08,10,6587,True,13.25,0.368,1951.481,25.0,0.0,7.0,0.0,25.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,12,4031,True,10.573,0.27,1983.561,0.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,11,9289,True,13.806,0.75,1978.857,0.0,3.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
