grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4094,True,1969.533,1964.007,0.0,0.0,0.0,10.0,0.0,3.0,2.0,319765,Osdorp,2019-05-11,20,7.287,64.289375,0.987,3.7137532,0.0,0.0,0.0,0.0,0.0,1025.3,1025.1752,11.013882,348.6901,20.16,11.337001,11.237,10.337001,9.487,0.562,0.549,0.582,0.622
4094,True,1969.533,1964.007,0.0,0.0,0.0,10.0,0.0,3.0,2.0,400522,Osdorp,2022-05-11,20,13.437,88.86575,11.637,9.689825,0.2,0.2,0.0,0.0,51.0,1008.8,1008.6796,29.168886,245.96571,57.239998,14.387,14.087001,10.737,9.137,0.483,0.465,0.546,0.671
4097,True,1963.0,1976.232,0.0,0.0,0.0,9.0,0.0,2.0,0.0,373330,Osdorp,2021-05-21,18,12.137,62.935837,5.287,5.0031643,0.0,0.0,0.0,0.0,3.0,997.6,997.4806,40.991024,226.06741,75.24,13.687,11.737,9.837001,8.587001,0.654,0.642,0.59,0.666
4097,True,1963.0,1976.232,0.0,0.0,0.0,9.0,0.0,2.0,0.0,393082,Osdorp,2022-02-18,15,9.143499,66.10122,3.1435,-1.0943575,0.4,0.4,0.0,0.0,51.0,984.9,984.9,59.31703,225.7376,106.56,8.7935,7.8935003,7.5435004,9.8435,0.737,0.726,0.702,0.681
4204,True,2007.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,346489,Osdorp,2020-05-01,16,12.4435,63.444664,5.6935,7.9634666,0.0,0.0,0.0,0.0,2.0,998.8,998.91956,23.4,270.0,51.12,13.1935,11.0435,10.4435,9.2935,0.596,0.478,0.569,0.688
4209,True,1964.778,1962.719,0.0,0.0,0.0,8.0,0.0,1.0,0.0,293592,Osdorp,2018-01-18,11,5.6305003,77.09143,1.9305,-2.8612914,0.1,0.1,0.0,0.0,51.0,992.2,992.0784,45.834656,302.8163,127.44,5.3305,4.9805,6.9305,10.8805,0.73,0.721,0.693,0.643
4209,True,1964.778,1962.719,0.0,0.0,0.0,8.0,0.0,1.0,0.0,293610,Osdorp,2018-01-18,12,5.8805003,77.13201,2.1805,-0.78110313,0.2,0.2,0.0,0.0,51.0,995.7,995.578,33.58628,300.96368,83.520004,5.3805003,4.9805,6.9305,10.8805,0.728,0.723,0.693,0.643
4209,True,1964.778,1962.719,0.0,0.0,0.0,8.0,0.0,1.0,0.0,393245,Osdorp,2022-02-18,16,8.8805,66.74836,3.0305,-0.5612211,0.0,0.0,0.0,0.0,1.0,985.3,985.18054,53.712433,232.8996,107.64,8.7805,7.9805,7.5805,9.8805,0.728,0.72,0.699,0.679
4213,True,1976.333,1980.312,0.0,0.0,0.0,2.0,0.0,1.0,0.0,341075,Osdorp,2020-02-10,8,5.8305,77.39915,2.1805,-2.0791988,0.1,0.1,0.0,0.0,51.0,992.8,992.67834,42.144608,268.04196,80.64,6.1805,7.1805,7.5305004,10.2805,0.736,0.735,0.695,0.673
4218,True,1999.286,1999.529,0.0,0.0,0.0,3.0,0.0,0.0,11.0,373289,Osdorp,2021-05-21,11,14.174,64.05648,7.474,8.181158,0.1,0.1,0.0,0.0,51.0,1000.0,999.6432,38.400375,218.91148,89.27999,13.474,11.324,9.774,8.574,0.652,0.643,0.59,0.666
