Incident_ID,Date,Incident_Starttime,Incident_Endtime,Incident_Duration,Incident_Priority,Service_Area,Municipality,Damage_Type,LON,LAT
10263,2019-01-08,03:24:39,03:40:32,00:15:53,5,Amstelveen,Amstelveen,"Fence, Road signs, Scaffolding",4.85508200159407,52.2927000956704
10267,2019-01-08,07:11:36,08:02:02,00:50:26,2,Nico,Amsterdam,Building,4.90205060875838,52.3661705060928
10269,2019-01-08,08:11:04,09:02:55,00:51:51,2,Amstelveen,Amstelveen,Tree,4.90462423397331,52.3050282477341
10271,2019-01-08,09:39:07,12:04:39,02:25:32,2,Anton,Amsterdam,Building,4.93989047413588,52.3002595324341
10271,2019-01-08,09:39:07,12:04:39,02:25:32,2,Anton,Amsterdam,"Fence, Road signs, Scaffolding",4.93989047413588,52.3002595324341
10287,2019-01-08,11:07:41,12:30:02,01:22:21,5,Hendrik,Amsterdam,Unknown,4.86916896189141,52.3618249343701
10295,2019-01-08,12:06:17,12:55:34,00:49:17,5,Hendrik,Amsterdam,Unknown,4.8853657149896,52.3731742937537
10296,2019-01-08,12:16:44,12:55:46,00:39:02,5,Osdorp,Amsterdam,Unknown,4.76952799118378,52.3545521733349
10302,2019-01-08,13:18:56,13:48:58,00:30:02,2,Hendrik,Amsterdam,Building,4.8692457921303,52.3665618088455
10311,2019-01-08,14:39:24,16:29:55,01:50:31,2,Nico,Amsterdam,Building,4.90966398421761,52.3613391051292
10311,2019-01-08,14:39:24,16:29:55,01:50:31,2,Nico,Amsterdam,"Fence, Road signs, Scaffolding",4.90966398421761,52.3613391051292
10320,2019-01-08,15:47:21,16:30:00,00:42:39,2,Amstelveen,Amstelveen,Building,4.85772999118735,52.3029761211345
10322,2019-01-08,15:50:43,18:10:20,02:19:37,2,Dirk,Amsterdam,Building,4.90172031655508,52.3520763941335
10326,2019-01-08,16:17:23,18:10:25,01:53:02,2,Hendrik,Amsterdam,Building,4.88679344721305,52.3767844073567
10330,2019-01-08,17:12:38,18:10:29,00:57:51,2,Victor,Amsterdam,Building,4.94054387349041,52.3709057046159
10588,2019-01-12,10:33:19,12:24:32,01:51:13,2,Hendrik,Amsterdam,Building,4.88350125414372,52.3744246567096
10662,2019-01-13,15:12:06,15:12:42,00:00:36,5,Zebra,Amsterdam,"Fence, Road signs, Scaffolding",4.92991424808339,52.4049463362283
10678,2019-01-13,16:46:06,18:37:05,01:50:59,2,Willem,Amsterdam,"Fence, Road signs, Scaffolding",4.92143224274868,52.349288513938
10691,2019-01-13,19:45:25,22:41:26,02:56:01,2,Driemond,Amsterdam,Tree,5.01729831949048,52.3036906445746
11333,2005-04-07,12:09:51,13:38:19,01:28:28,3,IJsbrand,AMSTERDAM,Unknown,4.88709832278234,52.418767084385
11337,2005-04-07,12:53:52,13:57:46,01:03:54,2,Pieter,AMSTERDAM,Tree,4.82619778516006,52.3525514368643
24028,2005-11-25,07:25:02,07:41:25,00:16:23,3,Dirk,AMSTERDAM,Unknown,4.89468206044249,52.3593813121225
24071,2005-11-25,10:35:23,11:35:20,00:59:57,1,Amstelveen,OUDER-AMSTEL,Tree,4.91693612329584,52.2971146291358
26845,2006-01-03,10:52:51,11:37:13,00:44:22,2,Amstelveen,AMSTELVEEN,Unknown,4.87903043370406,52.3032043772972
27379,2006-01-12,04:33:10,05:42:23,01:09:13,2,Amstelveen,AMSTELVEEN,Unknown,4.84396250873684,52.3018081782717
29122,2006-02-16,00:10:13,01:04:36,00:54:23,2,Amstelveen,AMSTELVEEN,Unknown,4.86604981928714,52.3086484525441
30843,2006-03-26,07:42:58,14:32:53,06:49:55,1,Victor,AMSTERDAM,"Fence, Road signs, Scaffolding",4.93091954958837,52.3586816844999
30843,2006-03-26,07:42:58,14:32:53,06:49:55,1,Victor,AMSTERDAM,Tree,4.93091954958837,52.3586816844999
30913,2006-03-27,17:58:03,20:20:43,02:22:40,2,Nico,AMSTERDAM,Unknown,4.92512072357772,52.3756279705798
30914,2006-03-27,18:03:27,20:06:44,02:03:17,2,Hendrik,AMSTERDAM,Unknown,4.8572390025269,52.3699599625484
30923,2006-03-27,18:34:14,19:00:46,00:26:32,2,Anton,AMSTERDAM,"Fence, Road signs, Scaffolding",4.97615115624961,52.3139446831449
30924,2006-03-27,18:30:01,20:22:19,01:52:18,3,Nico,AMSTERDAM,Building,4.92641705562117,52.3681732383963
31144,2006-03-30,19:08:47,19:41:39,00:32:52,2,Nico,AMSTERDAM,Unknown,4.90421671575621,52.3614068839933
31785,2006-04-12,20:18:13,20:43:21,00:25:08,1,Hendrik,AMSTERDAM,Unknown,4.87786118177759,52.3719558706755
33170,2006-05-10,17:31:53,18:03:43,00:31:50,3,Dirk,AMSTERDAM,Tree,4.88519444934832,52.3571664256383
33595,2006-05-19,09:57:54,10:43:22,00:45:28,2,Dirk,AMSTERDAM,Tree,4.8712524457598,52.360665626624
33598,2006-05-19,10:12:28,11:23:35,01:11:07,3,Pieter,AMSTERDAM,Unknown,4.85696977479575,52.3507159772184
33673,2006-05-20,12:02:13,12:27:34,00:25:21,3,Hendrik,AMSTERDAM,Unknown,4.85848479783915,52.3713855942801
33755,2006-05-22,10:45:50,12:32:16,01:46:26,3,GBA,AMSTERDAM,Unknown,4.79081506452658,52.3936323286548
33815,2006-05-23,10:31:00,11:00:14,00:29:14,3,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.88007958804541,52.3885566923661
36705,2006-07-18,19:24:05,19:57:39,00:33:34,2,IJsbrand,AMSTERDAM,Tree,4.88816671225783,52.4204882251277
36719,2006-07-18,22:30:20,23:23:30,00:53:10,2,Osdorp,AMSTERDAM,Tree,4.80102549769406,52.341419376036
36981,2006-07-22,17:34:20,22:34:24,05:00:04,3,Hendrik,AMSTERDAM,Tree,4.89054597494937,52.3800357779477
36986,2006-07-22,18:08:47,19:23:56,01:15:09,2,Anton,AMSTERDAM,Tree,4.96748110184135,52.2987428578798
36992,2006-07-22,20:49:31,21:52:34,01:03:03,2,Amstelveen,AMSTELVEEN,"Fence, Road signs, Scaffolding",4.8795103621335,52.3086800301555
36997,2006-07-22,22:19:59,22:40:03,00:20:04,3,Zebra,AMSTERDAM,Unknown,4.9467045288463,52.3922654946862
37353,2006-07-28,23:32:25,00:04:04,00:31:39,2,Victor,AMSTERDAM,Tree,4.94312704717489,52.3504863731536
37442,2006-07-30,16:18:46,16:41:54,00:23:08,3,Teunis,AMSTERDAM,Tree,4.84743968935163,52.3752274464567
37587,2006-08-02,10:57:59,11:18:09,00:20:10,2,Anton,AMSTERDAM,Tree,4.96873978233642,52.3160937399825
37888,2006-08-08,09:29:20,11:36:19,02:06:59,1,Aalsmeer,AALSMEER,Tree,4.75063768298852,52.2664514069744
38015,2006-08-11,11:13:49,12:30:48,01:16:59,3,Nico,AMSTERDAM,Unknown,4.89967471157724,52.375283270515
38017,2006-08-11,11:46:17,12:31:06,00:44:49,1,Hendrik,AMSTERDAM,Building,4.89459004874128,52.3769249512652
38213,2006-08-14,11:13:28,12:10:39,00:57:11,2,Zebra,AMSTERDAM,Tree,4.94744612703351,52.3885923031249
38687,2006-08-24,20:29:35,22:11:06,01:41:31,3,Zebra,AMSTERDAM,Unknown,4.95730287561377,52.3855637021529
39036,2006-09-01,06:23:02,06:45:23,00:22:21,2,Pieter,AMSTERDAM,Tree,4.82917808968779,52.3641687427283
39171,2006-09-03,16:13:39,16:51:30,00:37:51,3,Hendrik,AMSTERDAM,Unknown,4.8900565227178,52.3673610547297
39172,2006-09-03,16:30:41,16:51:41,00:21:00,3,Pieter,AMSTERDAM,Unknown,4.85827437024413,52.3508566308959
39614,2006-09-12,10:21:55,10:56:00,00:34:05,2,Duivendrecht,OUDER-AMSTEL,Tree,4.94824552041825,52.3315772953439
41132,2006-10-13,11:15:05,15:05:23,03:50:18,2,Teunis,AMSTERDAM,Building,4.87303672622042,52.3815159213332
41132,2006-10-13,11:15:05,15:05:23,03:50:18,2,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87303672622042,52.3815159213332
41147,2006-10-13,17:44:46,18:25:03,00:40:17,2,Nico,AMSTERDAM,Unknown,4.9028927442255,52.3737595795777
42089,2006-11-01,01:50:20,02:14:16,00:23:56,2,Victor,AMSTERDAM,Tree,4.93538881162461,52.3551486792453
