OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
746,746,"LINESTRING(4.995522 52.315358,4.995914 52.316503,4.995815 52.317787,4.994012 52.320402,4.992942 52.321658,4.990643 52.324989,4.990085 52.326239,4.989285 52.327121,4.988008 52.32812,4.985669 52.329537,4.984024 52.330189,4.982631 52.330379,4.98077 52.330398,4.975442 52.330829)","LINESTRING(52.315358 4.995522,52.316503 4.995914,52.317787 4.995815,52.320402 4.994012,52.321658 4.992942,52.324989 4.990643,52.326239 4.990085,52.327121 4.989285,52.32812 4.988008,52.329537 4.985669,52.330189 4.984024,52.330379 4.982631,52.330398 4.98077,52.330829 4.975442)",4.985678,52.3230935
747,747,"LINESTRING(5.010096 52.352768,5.003661 52.350767,5.000006 52.352678,4.992807 52.356517,4.990048 52.358048,4.981899 52.362373,4.979464 52.363719,4.97796 52.364508)","LINESTRING(52.352768 5.010096,52.350767 5.003661,52.352678 5.000006,52.356517 4.992807,52.358048 4.990048,52.362373 4.981899,52.363719 4.979464,52.364508 4.97796)",4.994028,52.3576375
748,748,"LINESTRING(5.013883 52.303907,5.011939 52.30492,5.010983 52.305488,5.010349 52.306105,5.009529 52.307762,5.009058 52.308294,5.007879 52.309058,5.006714 52.309468,5.005402 52.309642,5.003578 52.309776,5.002502 52.309994,5.001681 52.310245,5.000727 52.310658,4.999698 52.311362,4.996896 52.312933,4.996058 52.313461,4.995646 52.313879,4.995457 52.314353,4.995433 52.315098,4.995522 52.315358)","LINESTRING(52.303907 5.013883,52.30492 5.011939,52.305488 5.010983,52.306105 5.010349,52.307762 5.009529,52.308294 5.009058,52.309058 5.007879,52.309468 5.006714,52.309642 5.005402,52.309776 5.003578,52.309994 5.002502,52.310245 5.001681,52.310658 5.000727,52.311362 4.999698,52.312933 4.996896,52.313461 4.996058,52.313879 4.995646,52.314353 4.995457,52.315098 4.995433,52.315358 4.995522)",5.004658,52.3096325
749,749,"LINESTRING(4.748164 52.407466,4.742752 52.408175,4.742459 52.40823,4.741897 52.40839,4.741387 52.408615,4.740995 52.408871,4.740818 52.409018,4.740559 52.409305,4.740358 52.40963,4.739616 52.412137,4.739134 52.413657,4.736731 52.421724,4.736788 52.422382,4.736757 52.422436,4.736429 52.422492,4.736348 52.422492)","LINESTRING(52.407466 4.748164,52.408175 4.742752,52.40823 4.742459,52.40839 4.741897,52.408615 4.741387,52.408871 4.740995,52.409018 4.740818,52.409305 4.740559,52.40963 4.740358,52.412137 4.739616,52.413657 4.739134,52.421724 4.736731,52.422382 4.736788,52.422436 4.736757,52.422492 4.736429,52.422492 4.736348)",4.742256,52.414979
750,750,"LINESTRING(5.020133 52.303973,5.020367 52.303635,5.020431 52.303395,5.02062 52.301551,5.020678 52.300552,5.020984 52.282975,5.020923 52.282116,5.020824 52.281287,5.020711 52.280765,5.020058 52.278338,5.019703 52.277108,5.019228 52.275333,5.018984 52.274721,5.018675 52.27426,5.018603 52.274014,5.018568 52.273386,5.018323 52.272355,5.018246 52.27183,5.017543 52.269193)","LINESTRING(52.303973 5.020133,52.303635 5.020367,52.303395 5.020431,52.301551 5.02062,52.300552 5.020678,52.282975 5.020984,52.282116 5.020923,52.281287 5.020824,52.280765 5.020711,52.278338 5.020058,52.277108 5.019703,52.275333 5.019228,52.274721 5.018984,52.27426 5.018675,52.274014 5.018603,52.273386 5.018568,52.272355 5.018323,52.27183 5.018246,52.269193 5.017543)",5.0192635,52.286583
751,751,"LINESTRING(4.88849 52.38028,4.883367 52.374652,4.883305 52.37416)","LINESTRING(52.38028 4.88849,52.374652 4.883367,52.37416 4.883305)",4.8858975,52.37722
752,752,"LINESTRING(4.888124 52.380479,4.882895 52.374789,4.882794 52.37404)","LINESTRING(52.380479 4.888124,52.374789 4.882895,52.37404 4.882794)",4.885459,52.3772595
753,753,"LINESTRING(4.889585 52.379665,4.884786 52.374428,4.884737 52.374146)","LINESTRING(52.379665 4.889585,52.374428 4.884786,52.374146 4.884737)",4.887161,52.3769055
754,754,"LINESTRING(4.890056 52.379488,4.885383 52.374407,4.885325 52.374073)","LINESTRING(52.379488 4.890056,52.374407 4.885383,52.374073 4.885325)",4.8876905,52.3767805
755,755,"LINESTRING(4.891641 52.379127,4.886989 52.374073,4.886921 52.373526)","LINESTRING(52.379127 4.891641,52.374073 4.886989,52.373526 4.886921)",4.889281,52.3763265
