Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,Incident_ID
2009-09-03,8485,52.40561517163585,4.900360950033722,15,True,14.833,0.0,1981.667,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,16.587,69.04863,10.887,10.99156,0.0,0.0,0.0,0.0,1.0,997.8,997.6825,28.8,5.0,25.0,31.0,0.20929891,0.584705,40.25727,58.604855,242.28928,242.96281,83.159996,16.786999,16.737,16.286999,12.287001,0.592,0.473,0.495,0.625,N26
2022-02-18,5407,52.265074631095146,4.829615452006465,16,True,5.816,0.0,2007.483,2.0,2.0,1.0,0.0,6.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.962999,65.8281,2.913,-0.753212,0.0,0.0,0.0,0.0,0.0,985.8,986.3968,13.8,10.0,8.0,0.0,0.11294389,0.39209366,55.44467,84.74999,232.38597,233.8115,108.72,8.563,7.913,7.313,7.813,0.419,0.421,0.412,0.401,N27
2018-01-18,7913,52.27588544190598,4.888570033695846,17,True,4.883,0.265,1999.33,0.0,35.0,0.0,8.0,0.0,2.0,0.0,7.0,7.0,7.0,0.0,2.0,0.0,1.0,0.0,28.0,0.0,4.05,78.79897,0.7,-0.34122157,0.1,0.1,0.0,0.0,51.0,1000.6,1000.9699,51.600002,2.0,83.0,0.0,0.01633406,0.17350107,16.299694,29.655787,276.3401,280.49142,35.64,4.45,5.1,6.05,8.9,0.421,0.422,0.409,0.386,N28
2021-08-07,9296,52.2902998563204,4.920995053625006,19,True,8.321,0.0,1997.134,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,47.0,0.0,21.0,0.0,0.0,0.0,2.0,50.0,0.0,15.6,87.60606,13.55,13.134357,0.5,0.5,0.0,0.0,53.0,999.4,999.5184,87.0,48.0,27.0,92.0,0.043765835,0.21983206,24.735432,38.383495,201.33693,203.19861,41.039997,17.3,17.4,15.65,11.5,0.689,0.648,0.566,0.644,N29
2022-02-18,6938,52.32093048695107,4.864988201020093,19,True,11.722,0.376,1983.73,10.0,7.0,2.0,23.0,1.0,12.0,25.0,12.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,6.9175,62.827835,0.3175,-2.0331135,0.0,0.0,0.0,0.0,1.0,991.8,991.43713,24.9,17.0,16.0,0.0,0.083962396,0.37113845,47.149002,74.93276,255.85762,257.23233,99.0,7.6675,7.9675,7.5675,9.867499,0.722,0.72,0.7,0.679,N30
2022-02-19,13420,52.2884980545186,5.018270113412484,12,True,11.576,0.39,1808.804,1.0,5.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,23.0,2.0,0.0,0.0,6.6064997,60.73569,-0.44349998,-0.44524956,0.1,0.1,0.0,0.0,51.0,1012.1,1012.3473,100.0,52.0,58.0,78.0,0.15110938,0.38374346,33.326744,46.696037,243.7118,244.42274,65.520004,7.3564997,7.1565,7.5065,9.7565,0.712,0.72,0.707,0.68,N31
2007-06-08,10646,52.2452548112753,4.953420073554166,20,True,12.833,0.164,2012.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.063,90.44948,17.463001,20.41764,0.0,0.0,0.0,0.0,1.0,1015.9,1016.2565,39.6,3.0,13.0,97.0,0.02142761,0.21072388,9.0645685,16.055353,276.84268,289.6539,20.519999,22.013,19.513,14.263,10.863,0.586,0.572,0.566,0.66,N32
2023-07-11,9311,52.31732688334747,4.920995053625006,14,True,14.433,0.29,1988.186,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,32.0,11.0,3.0,0.0,25.043499,57.58723,16.0935,24.356337,0.1,0.1,0.0,0.0,51.0,1010.7,1010.81586,57.9,19.0,20.0,96.0,0.44084185,1.346821,21.470612,28.961546,235.24402,235.1246,41.399998,25.2435,20.2435,16.3935,11.143499,0.456,0.444,0.519,0.648,N33
2023-07-05,8096,52.38038994641061,4.891517762780315,12,True,17.565,0.0,1984.637,2.0,6.0,1.0,0.0,4.0,3.0,1.0,13.0,0.0,86.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,13.622,90.65477,12.122,9.596481,0.1,0.1,0.0,0.0,51.0,1008.1,1006.78,100.0,25.0,100.0,100.0,0.079060555,0.14592373,32.136932,50.911686,260.32672,261.87,64.439995,13.372,16.172,15.922,10.722,0.703,0.498,0.547,0.666,N34
2023-07-05,6748,52.42903859505931,4.859092742851156,12,True,3.0,0.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6805,90.65884,12.1805,9.673906,0.1,0.1,0.0,0.0,51.0,1008.1,1007.86005,100.0,25.0,100.0,100.0,0.07923355,0.14641511,32.136932,50.911686,260.32672,261.87,64.439995,13.4305,16.2305,15.9805,10.7805,0.703,0.498,0.547,0.666,N35
