,Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
974,2019-05-28,7234,52.403813369834054,4.870883659189032,11,True,5.733,0.0,1977.386,2.0,81.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,14.674,62.01985,7.474,12.164427,0.0,0.0,0.0,0.0,3.0,1009.0,1008.6406,94.8,54.0,33.0,88.0,0.28303486,0.63494396,12.7279215,16.58346,28.739704,27.121223,30.239998,14.774,13.874,11.824,9.674,0.475,0.472,0.554,0.619
975,2019-10-01,3898,52.24885841487891,4.794242702992836,13,True,6.7,0.237,1982.8,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.213001,91.12559,14.763,15.299168,0.2,0.2,0.0,0.0,51.0,998.7,999.28955,100.0,83.0,44.0,100.0,0.108745635,0.16367364,17.114204,24.735432,247.75093,248.66307,38.16,16.313,15.063,15.162999,15.813,0.423,0.415,0.303,0.333
976,2022-11-01,7911,52.272281838302355,4.888570033695846,16,True,9.0,0.172,2002.179,0.0,0.0,0.0,31.0,0.0,7.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.85,65.30908,7.45,8.926988,0.0,0.0,0.0,0.0,3.0,1012.6,1012.9616,100.0,62.0,54.0,50.0,0.098558225,0.54987,29.237675,45.96313,189.92618,191.74995,55.44,14.55,14.3,14.3,15.1,0.332,0.333,0.308,0.328
977,2019-03-09,4848,52.38399355001421,4.814876806584119,15,True,20.75,0.25,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4175,76.46263,4.5175004,0.5821295,1.0,1.0,0.0,0.0,55.0,1006.2,1005.7118,29.7,25.0,12.0,0.0,0.094215035,0.26029384,44.693676,68.695885,280.6763,281.48654,90.0,9.2675,8.0675,7.8675003,9.7175,0.731,0.697,0.647,0.608
978,2022-04-24,9161,52.272281838302355,4.918047324540537,20,True,6.317,0.0,1995.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,47.0,0.0,9.513,72.74971,4.863,5.3776875,0.0,0.0,0.0,0.0,0.0,1009.5,1009.8663,0.0,0.0,0.0,0.0,0.037997443,0.32445556,19.813087,33.989033,24.702408,28.465076,36.719997,12.763,12.412999,9.712999,8.912999,0.483,0.53,0.583,0.68
979,2009-04-18,2542,52.283092649113186,4.761817683063677,12,True,14.541,0.586,1973.514,4.0,13.0,5.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.937,53.370968,5.537,11.9175625,0.0,0.0,0.0,0.0,0.0,1016.0,1016.0,7.8,0.0,0.0,26.0,0.37752235,0.7928868,20.633371,26.987997,42.878906,46.080845,37.8,14.987,11.337001,9.737,6.637,0.407,0.408,0.442,0.475
980,2022-01-31,11391,52.23624580226628,4.971106448060979,6,True,12.02,0.4,1952.354,20.0,1.0,8.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,34.0,1.0,3.0,0.0,5.413,84.52112,3.013,-2.701881,1.5,1.5,0.0,0.0,61.0,1005.7,1006.06995,100.0,100.0,100.0,0.0,0.027321167,0.13931519,44.589165,69.488396,291.80148,293.5104,73.439995,4.813,6.213,6.763,10.313,0.701,0.656,0.681,0.674
981,2023-07-05,6899,52.25066021668071,4.864988201020093,8,True,8.5,0.0,2010.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13.087001,81.200554,9.937,5.707982,2.5,2.5,0.0,0.0,63.0,1000.5,1000.6191,100.0,87.0,100.0,96.0,0.0763503,0.28352797,50.587368,78.09594,253.8865,257.7577,88.56,13.387,16.187,16.587,12.637,0.414,0.235,0.267,0.369
982,2023-07-05,8966,52.37138093740158,4.912151866371598,8,True,9.744,0.196,1991.103,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,13.2175,81.48982,10.117499,5.2453613,6.7,6.7,0.0,0.0,63.0,999.3,998.9425,100.0,94.0,100.0,94.0,0.077526495,0.2815491,55.00819,85.362526,255.59995,258.07404,103.32,13.1675,16.6175,15.9675,10.8175,0.747,0.456,0.538,0.661
983,2008-08-12,11035,52.270480036500565,4.962263260807573,15,True,7.441,0.25,1986.937,5.0,0.0,2.0,0.0,3.0,1.0,0.0,17.0,22.0,5.0,8.0,0.0,0.0,0.0,0.0,15.0,1.0,20.4,58.921616,12.1,16.76204,0.0,0.0,0.0,0.0,0.0,994.5,994.6159,19.5,7.0,22.0,0.0,0.35602254,0.9849713,30.385365,44.86299,233.67308,234.14154,61.920002,20.1,17.2,16.3,11.9,0.66,0.621,0.53,0.639
984,2020-02-09,6738,52.41102057704127,4.859092742851156,18,True,15.266,0.266,1979.031,0.0,6.0,39.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2565,86.912865,9.1565,3.4569273,0.8,0.8,0.0,0.0,53.0,984.6,984.83624,100.0,100.0,100.0,10.0,0.033621553,0.17500949,51.984802,82.09263,216.55257,217.87505,120.95999,8.9065,6.7064996,7.4564996,10.3065,0.695,0.68,0.686,0.653
985,2020-08-26,12041,52.28129084731138,4.9858450934833245,11,True,16.175,0.427,1973.089,0.0,0.0,8.0,103.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,3.0,0.0,17.2565,80.16794,13.8065,12.969444,0.3,0.3,0.0,0.0,51.0,1005.5,1005.73694,100.0,95.0,97.0,0.0,0.12257322,0.39081085,37.84283,56.201527,267.27374,267.79745,74.88,16.5565,17.2565,17.706501,12.7565,0.635,0.516,0.446,0.615
986,2022-02-19,12407,52.265074631095146,4.994688280736732,11,True,12.408,0.538,1831.631,11.0,8.0,4.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,3.0,0.0,0.0,47.0,9.0,1.0,0.0,7.063,55.54919,-1.237,-0.30871916,0.0,0.0,0.0,0.0,1.0,1011.4,1011.77014,32.1,35.0,1.0,0.0,0.16492926,0.44824898,34.726475,48.621326,252.50415,252.77243,59.76,6.763,7.213,7.513,9.763,0.709,0.721,0.707,0.68
987,2020-06-24,3223,52.38399355001421,4.776556328486022,17,True,3.0,0.4,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4935,47.532417,14.4435,25.523264,0.0,0.0,0.0,0.0,1.0,1021.5,1021.5,29.1,0.0,0.0,97.0,0.3473636,1.8155587,16.641972,25.7041,51.146618,52.969524,34.56,26.4435,19.293499,14.5435,10.393499,0.409,0.403,0.495,0.649
988,2022-02-18,8093,52.37498454100519,4.891517762780315,15,True,14.468,0.419,1981.521,18.0,3.0,1.0,0.0,29.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,83.0,1.0,1.0,0.0,9.091499,66.0898,3.0915,-1.1561289,0.4,0.4,0.0,0.0,51.0,984.9,983.947,6.8999996,7.0,1.0,0.0,0.12949911,0.39247495,59.31703,91.403854,225.7376,226.11696,106.56,8.7415,7.8415003,7.4915004,9.7915,0.737,0.726,0.702,0.681
989,2018-01-03,8464,52.367777333797974,4.900360950033722,12,True,10.409,0.38,1967.514,4.0,5.0,5.0,0.0,11.0,16.0,3.0,1.0,18.0,4.0,2.0,0.0,9.0,5.0,5.0,50.0,0.0,7.3285003,77.63784,3.6785,-1.2444048,0.5,0.5,0.0,0.0,53.0,987.7,986.61786,100.0,50.0,87.0,89.0,0.064618565,0.2296421,48.60133,75.25378,270.42438,271.0964,94.67999,7.1285,6.9285,7.7285004,11.4285,0.743,0.736,0.694,0.63
990,2022-01-31,11360,52.40561517163585,4.96815871897651,9,True,10.809,0.0,1928.696,76.0,10.0,14.0,7.0,7.0,30.0,2.0,4.0,9.0,6.0,0.0,15.0,1.0,0.0,0.0,13.0,0.0,5.95,82.22879,3.15,-2.7434497,0.6,0.6,0.0,0.0,53.0,1006.4,1006.64655,100.0,100.0,100.0,0.0,0.047593154,0.16600609,48.733147,73.37644,311.10617,312.614,83.88,4.9,6.0,6.85,10.4,0.702,0.66,0.672,0.64
991,2023-11-02,5872,52.42723679325751,4.838458639259873,16,True,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.661,80.18367,6.411,2.0925937,0.3,0.3,0.0,0.0,51.0,968.4,967.8153,100.0,100.0,100.0,79.0,0.06157837,0.23829138,45.685966,71.51053,192.28394,193.68648,80.64,9.761001,11.061001,12.661,13.911,0.756,0.755,0.733,0.65
992,2023-11-02,8113,52.41102057704127,4.891517762780315,17,True,16.596,0.438,1981.857,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,9.7435,79.37152,6.3435,2.3282347,0.1,0.1,0.0,0.0,51.0,969.3,969.3,100.0,100.0,100.0,100.0,0.048914753,0.24943316,44.52954,69.87432,194.03627,195.53998,78.479996,9.5435,11.0935,12.6935,13.9435,0.752,0.754,0.733,0.65
993,2022-02-18,12195,52.333543099563705,4.988792822567794,15,True,8.5,0.183,1995.333,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,9.25,65.42744,3.1,-1.4535828,0.1,0.1,0.0,0.0,51.0,985.7,985.9384,15.9,7.0,16.0,0.0,0.13040468,0.4044335,62.454556,93.368484,228.03741,228.75183,105.479996,8.9,7.8,7.45,9.85,0.736,0.724,0.695,0.663
