,Date,grid_id,LAT,LON,Unnamed: 0,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
982,2022-01-04,902,52.360570126590765,4.770660870317084,1609,10,False,,,,,,,,,,,,,,,,,,,,,7.561,89.908134,6.011,4.0500298,0.1,0.1,0.0,0.0,51.0,995.6,995.11536,100.0,100.0,100.0,100.0,0.030995395,0.10529107,17.238699,26.36616,298.70584,304.9921,28.08,7.461,8.411,7.661,11.261001,0.702,0.705,0.696,0.659
983,2023-01-23,6926,52.35516472118534,4.971106448060979,1610,14,False,,,,,,,,,,,,,,,,,,,,,4.0435004,78.23161,0.5935,0.48338318,0.0,0.0,0.0,0.01,3.0,1037.8,1037.9282,90.0,100.0,0.0,0.0,0.04751432,0.17806274,10.483357,13.979871,74.054535,78.11137,20.880001,3.6935,3.3935,7.0435004,11.143499,0.709,0.715,0.713,0.626
984,2022-05-07,2728,52.37678634280699,4.829615452006465,1611,21,False,,,,,,,,,,,,,,,,,,,,,11.111,86.023865,8.861,8.629368,0.0,0.0,0.0,0.0,0.0,1027.1,1026.483,17.1,15.0,6.0,0.0,0.009133723,0.18510675,14.973577,26.865265,27.181028,32.412296,28.44,14.411,13.661,10.161,9.061001,0.48,0.488,0.558,0.673
985,2022-05-29,6281,52.304714270734834,4.947524615385228,1613,13,False,,,,,,,,,,,,,,,,,,,,,12.662999,65.722916,6.413,9.231809,0.2,0.2,0.0,0.0,51.0,1015.6,1016.0856,100.0,100.0,95.0,77.0,0.28038868,0.5028849,19.602652,25.764534,352.61404,352.7758,37.44,15.162999,13.513,12.813,9.563,0.529,0.526,0.533,0.654
986,2023-04-21,4893,52.28489445091499,4.897413220949254,1617,9,False,,,,,,,,,,,,,,,,,,,,,11.25,78.24597,7.6,7.85588,0.1,0.1,0.0,0.0,51.0,1014.5,1014.86554,82.2,56.0,4.0,98.0,0.1565372,0.29079735,19.008547,25.925,114.62355,115.497505,35.28,9.85,8.7,8.6,7.4,0.398,0.38,0.389,0.402
987,2023-09-28,2851,52.40921877523947,4.832563181090935,1620,6,False,,,,,,,,,,,,,,,,,,,,,16.0805,86.23896,13.7805,14.813059,0.0,0.0,0.0,0.0,1.0,1014.2,1013.96045,44.1,47.0,0.0,6.0,0.03493455,0.25168097,17.0763,31.602175,214.69522,222.22972,32.039997,16.2305,16.7305,15.9805,13.6805,0.639,0.646,0.597,0.639
988,2023-02-03,8795,52.28129084731138,5.068381507848459,1622,18,False,,,,,,,,,,,,,,,,,,,,,6.9935,89.55328,5.3935003,3.6899471,0.0,0.0,0.0,0.0,2.0,1029.4,1029.4,73.5,2.0,100.0,39.0,0.0020245642,0.10484755,14.88242,28.51282,302.15228,307.30402,26.28,7.3435,7.0935,6.6435003,10.5935,0.686,0.687,0.702,0.664
989,2023-08-22,7709,52.37318273920339,5.00353146799014,1626,9,False,,,,,,,,,,,,,,,,,,,,,20.337,79.06381,16.587,20.455305,0.0,0.0,0.0,0.0,0.0,1020.2,1020.2,17.4,19.0,0.0,1.0,0.24056785,0.4999169,14.973577,19.486609,242.81897,244.85524,28.8,18.887,18.786999,16.637,12.737,0.509,0.536,0.513,0.634
990,2023-05-07,8081,52.364173730194366,5.021217842496953,1627,16,False,,,,,,,,,,,,,,,,,,,,,17.337,82.28405,14.287001,17.297585,0.3,0.3,0.0,0.0,51.0,1018.7,1018.7,88.2,41.0,36.0,99.0,0.18949659,0.35087872,9.904906,12.0694,70.90642,72.64589,19.44,18.637,13.937,10.037001,9.087001,0.722,0.639,0.665,0.664
991,2023-01-05,4937,52.364173730194366,4.897413220949254,1629,13,False,,,,,,,,,,,,,,,,,,,,,10.885,82.01349,7.935,8.072153,0.0,0.0,0.0,0.0,2.0,1019.6,1018.61945,53.700005,17.0,14.0,100.0,0.073016204,0.23468423,15.596767,23.587555,251.14674,254.05453,32.039997,9.635,8.385,7.735,11.585,0.712,0.72,0.691,0.612
